meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,41011,1
hospitalisation_primary,ICD9,41071,4
hospitalisation_primary,ICD9,44023,1
hospitalisation_secondary,ICD9,4149,10
hospitalisation_secondary,ICD9,4148,4
hospitalisation_primary,ICD9,41090,1
hospitalisation_primary,ICD9,41031,3
exemption,ICD9,414,9
hospitalisation_primary,ICD9,41001,2
hospitalisation_secondary,ICD9,412,6
hospitalisation_secondary,ICD9,41401,4
hospitalisation_primary,ICD9,4131,1
hospitalisation_secondary,ICD9,41010,1
hospitalisation_primary,ICD9,4139,2
hospitalisation_primary,ICD9,4111,1
hospitalisation_secondary,ICD9,4408,1
hospitalisation_secondary,ICD9,4139,1
hospitalisation_primary,ICD9,41401,1
