Dose,sex,ageband_at_study_entry,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,0,50-59,,0,8,2,0,0,0,1553.98,670.9,3061.97,387.44,46.92,1399.58,0,0,714.48,0,0,714.48,0,0,714.48
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,90609.5,0,0,87321.01,0,0,85007.14,0,0,85007.14,0,0,85007.14
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,102305.48,0,0,98132.79,0,0,95220.02,0,0,95220.02,0,0,95220.02
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,134333.32,0,0,128076.35,0,0,124180.94,0,0,124180.94,0,0,124180.94
0,1,18-24,,0,4,0,0,0,0,2082.03,567.28,5330.82,0,0,1917.46,0,0,1917.46,0,0,1917.46,0,0,1917.46
0,0,70-79,,0,1,0,0,0,0,553.55,14.01,3084.19,0,0,2041.3,0,0,2041.3,0,0,2041.3,0,0,2041.3
1,0,70-79,AstraZeneca,1,0,0,0,0,0,0,0,211185.46,0,0,208893.52,0,0,208893.52,0,0,208893.52,0,0,208893.52
1,0,70-79,AstraZeneca,2,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,3,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,4,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,5,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,6,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,7,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,8,0,0,0,0,0,0,0,215233.74,0,0,212853.59,0,0,212853.59,0,0,212853.59,0,0,212853.59
