sex,ageband_at_1_jan_2021,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8,0,0,59250.8
0,30-39,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85,0,0,415852.85
0,30-39,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2,0,0,70951.2
0,40-49,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22,0,0,48977.22
0,12-17,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25,0,0,1036433.25
0,12-17,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59,0,0,197560.59
0,60-69,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94
0,60-69,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11,0,0,60474.11
0,5-11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5,0,0,283059.5
0,5-11,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43,0,0,2041459.43
0,25-29,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26,0,0,489950.26
0,25-29,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92,0,0,235141.92
0,80+,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49
0,80+,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25,0,0,157402.25
0,40-49,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67,0,0,193586.67
