Dose,sex,ageband_at_study_entry,type_vax,week_fup,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,Persontime_COVID_L5plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b
0,0,50-59,"",0,0,0,0,0,0,0,0,0,0,0,2020,188580,188033,188543,188580,188580,188580,8,< 5,0,0,0
0,0,50-59,"",0,0,0,0,0,0,0,0,0,0,0,2021,70181,68083,69196,70181,70181,70181,13,6,0,0,0
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,1585,1487,1543,1585,1585,1585,0,0,0,0,0
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,1415,1317,1373,1415,1415,1415,0,0,0,0,0
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,1085,1003,1052,1085,1085,1085,0,0,0,0,0
0,1,18-24,"",0,0,0,0,0,0,0,0,0,0,0,2020,70268,70172,70268,70268,70268,70268,< 5,0,0,0,0
0,1,18-24,"",0,0,0,0,0,0,0,0,0,0,0,2021,31293,29613,31149,31293,31293,31293,7,< 5,0,0,0
0,0,70-79,"",0,0,0,0,0,0,0,0,0,0,0,2020,66005,65983,66005,66005,66005,66005,< 5,0,0,0,0
0,0,70-79,"",0,0,0,0,0,0,0,0,0,0,0,2021,19600,19421,19600,19600,19600,19600,< 5,0,0,0,0
1,0,70-79,AstraZeneca,1,0,0,0,0,0,0,0,0,0,0,2021,645,638,645,645,645,645,0,0,0,0,0
1,0,70-79,AstraZeneca,2,0,0,0,0,0,0,0,0,0,0,2021,637,630,637,637,637,637,0,0,0,0,0
1,0,70-79,AstraZeneca,3,0,0,0,0,0,0,0,0,0,0,2021,637,630,637,637,637,637,0,0,0,0,0
1,0,70-79,AstraZeneca,4,0,0,0,0,0,0,0,0,0,0,2021,637,630,637,637,637,637,0,0,0,0,0
1,0,70-79,AstraZeneca,5,0,0,0,0,0,0,0,0,0,0,2021,637,630,637,637,637,637,0,0,0,0,0
1,0,70-79,AstraZeneca,6,0,0,0,0,0,0,0,0,0,0,2021,637,630,637,637,637,637,0,0,0,0,0
1,0,70-79,AstraZeneca,7,0,0,0,0,0,0,0,0,0,0,2021,637,630,637,637,637,637,0,0,0,0,0
1,0,70-79,AstraZeneca,8,0,0,0,0,0,0,0,0,0,0,2021,633,626,633,633,633,633,0,0,0,0,0
1,0,70-79,AstraZeneca,9,0,0,0,0,0,0,0,0,0,0,2021,557,550,557,557,557,557,0,0,0,0,0
0,0,0-4,"",0,0,0,0,0,0,0,0,0,0,0,2020,17935,17935,17935,17935,17935,17935,0,0,0,0,0
0,0,0-4,"",0,0,0,0,0,0,0,0,0,0,0,2021,7161,7161,7161,7161,7161,7161,0,0,0,0,0
1,0,50-59,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,577,529,549,577,577,577,0,0,0,0,0
1,0,50-59,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,400,359,373,400,400,400,0,0,0,0,0
1,0,50-59,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,246,215,225,246,246,246,0,0,0,0,0
0,0,40-49,"",0,0,0,0,0,0,0,0,0,0,0,2020,197219,196616,197002,197219,197219,197219,8,< 5,0,0,0
0,0,40-49,"",0,0,0,0,0,0,0,0,0,0,0,2021,76517,74335,76130,76517,76517,76517,10,< 5,0,0,0
1,0,40-49,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,1165,1109,1158,1165,1165,1165,0,0,0,0,0
1,0,40-49,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,1033,977,1026,1033,1033,1033,0,0,0,0,0
1,0,40-49,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,837,785,831,837,837,837,0,0,0,0,0
1,0,40-49,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,383,353,383,383,383,383,0,0,0,0,0
1,0,40-49,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,176,148,176,176,176,176,0,0,0,0,0
1,0,40-49,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,124,103,124,124,124,124,0,0,0,0,0
0,1,70-79,"",0,1,0,0,0,0,0,0,0,0,< 5,2020,30076,30076,30076,30076,30076,30076,0,0,0,0,0
0,1,70-79,"",0,1,0,0,0,0,0,0,0,0,< 5,2021,8790,8790,8790,8790,8790,8790,0,0,0,0,0
1,1,70-79,Pfizer,1,1,0,0,0,0,0,0,0,0,< 5,2021,252,252,252,252,252,252,0,0,0,0,0
1,1,70-79,Pfizer,2,1,0,0,0,0,0,0,0,0,< 5,2021,247,247,247,247,247,247,0,0,0,0,0
1,1,70-79,Pfizer,3,1,0,0,0,0,0,0,0,0,< 5,2021,225,225,225,225,225,225,0,0,0,0,0
2,0,50-59,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,341,327,341,341,341,341,0,0,0,0,0
0,1,25-29,"",0,0,0,0,0,0,0,0,0,0,0,2020,59461,59244,59461,59461,59461,59461,5,0,0,0,0
0,1,25-29,"",0,0,0,0,0,0,0,0,0,0,0,2021,24680,23760,24680,24680,24680,24680,< 5,0,0,0,0
1,1,25-29,AstraZeneca,1,0,0,0,0,0,0,0,0,0,0,2021,35,35,35,35,35,35,0,0,0,0,0
1,1,25-29,AstraZeneca,2,0,0,0,0,0,0,0,0,0,0,2021,35,35,35,35,35,35,0,0,0,0,0
1,1,25-29,AstraZeneca,3,0,0,0,0,0,0,0,0,0,0,2021,35,35,35,35,35,35,0,0,0,0,0
1,1,25-29,AstraZeneca,4,0,0,0,0,0,0,0,0,0,0,2021,35,35,35,35,35,35,0,0,0,0,0
1,1,25-29,AstraZeneca,5,0,0,0,0,0,0,0,0,0,0,2021,35,35,35,35,35,35,0,0,0,0,0
1,1,25-29,AstraZeneca,6,0,0,0,0,0,0,0,0,0,0,2021,30,30,30,30,30,30,0,0,0,0,0
1,1,25-29,AstraZeneca,7,0,0,0,0,0,0,0,0,0,0,2021,28,28,28,28,28,28,0,0,0,0,0
1,1,25-29,AstraZeneca,8,0,0,0,0,0,0,0,0,0,0,2021,28,28,28,28,28,28,0,0,0,0,0
1,1,25-29,AstraZeneca,9,0,0,0,0,0,0,0,0,0,0,2021,28,28,28,28,28,28,0,0,0,0,0
1,1,25-29,AstraZeneca,10,0,0,0,0,0,0,0,0,0,0,2021,28,28,28,28,28,28,0,0,0,0,0
1,1,25-29,AstraZeneca,11,0,0,0,0,0,0,0,0,0,0,2021,28,28,28,28,28,28,0,0,0,0,0
1,1,25-29,AstraZeneca,12,0,0,0,0,0,0,0,0,0,0,2021,23,23,23,23,23,23,0,0,0,0,0
0,0,50-59,"",0,0,< 5,0,0,0,0,0,0,< 5,< 5,2020,1790,1772,1790,1790,1790,1790,< 5,0,0,0,0
0,0,40-49,"",0,1,0,0,0,0,0,0,0,0,< 5,2020,5515,5515,5515,5515,5515,5515,0,0,0,0,0
0,0,40-49,"",0,1,0,0,0,0,0,0,0,0,< 5,2021,2347,2347,2347,2347,2347,2347,0,0,0,0,0
0,0,70-79,"",0,1,0,0,0,0,0,0,0,0,< 5,2020,38142,38126,38126,38126,38126,38126,< 5,< 5,< 5,< 5,< 5
0,0,70-79,"",0,1,0,0,0,0,0,0,0,0,< 5,2021,12146,11969,12146,12146,12146,12146,< 5,0,0,0,0
1,0,70-79,AstraZeneca,1,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,2,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,3,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,4,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,5,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,6,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,7,1,0,0,0,0,0,0,0,0,< 5,2021,245,245,245,245,245,245,0,0,0,0,0
1,0,70-79,AstraZeneca,8,1,0,0,0,0,0,0,0,0,< 5,2021,244,244,244,244,244,244,0,0,0,0,0
1,0,70-79,AstraZeneca,9,1,0,0,0,0,0,0,0,0,< 5,2021,208,208,208,208,208,208,0,0,0,0,0
1,0,70-79,AstraZeneca,10,1,0,0,0,0,0,0,0,0,< 5,2021,182,182,182,182,182,182,0,0,0,0,0
1,0,70-79,AstraZeneca,11,1,0,0,0,0,0,0,0,0,< 5,2021,175,175,175,175,175,175,0,0,0,0,0
1,0,70-79,AstraZeneca,12,1,0,0,0,0,0,0,0,0,< 5,2021,159,159,159,159,159,159,0,0,0,0,0
2,0,70-79,AstraZeneca,1,1,0,0,0,0,0,0,0,0,< 5,2021,112,112,112,112,112,112,0,0,0,0,0
0,0,60-69,"",0,0,0,0,0,0,0,0,0,0,0,2020,127583,127285,127352,127368,127583,127583,7,< 5,< 5,0,0
0,0,60-69,"",0,0,0,0,0,0,0,0,0,0,0,2021,45728,44378,45401,45631,45728,45728,5,< 5,0,0,0
1,0,60-69,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,966,952,952,966,966,966,0,0,0,0,0
1,0,60-69,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,961,947,947,961,961,961,0,0,0,0,0
1,0,60-69,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,911,897,897,911,911,911,0,0,0,0,0
2,0,40-49,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,368,361,361,368,368,368,0,0,0,0,0
2,0,40-49,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,338,331,331,338,338,338,0,0,0,0,0
