DAP,Event,Coding_system,First_4_digits_of_code,meaning_of_event,sum
TEST,ADEM,ICD9,3483,hospitalisation_secondary,1
TEST,ACUASEARTHRITIS,ICD9,2749,hospitalisation_secondary,1
TEST,ACUASEARTHRITIS,ICD9,2748,hospitalisation_secondary,1
TEST,DM1,ICD9,2500,hospitalisation_secondary,2
TEST,DM1,ICD9,2501,hospitalisation_primary,2
TEST,DM1,ICD9,2507,hospitalisation_secondary,2
TEST,DM1,ICD9,2500,hospitalisation_secondary,35
TEST,DM1,ICD9,2500,hospitalisation_secondary,20
TEST,DM1,ICD9,250,exemption,31
TEST,DM1,ICD9,2507,hospitalisation_secondary,6
TEST,DM1,ICD9,2508,hospitalisation_secondary,1
TEST,DM1,ICD9,2504,hospitalisation_secondary,2
TEST,DM1,ICD9,2502,hospitalisation_secondary,1
TEST,DM1,ICD9,2507,hospitalisation_secondary,1
TEST,DM1,ICD9,2506,hospitalisation_secondary,1
TEST,DM1,ICD9,2501,hospitalisation_secondary,1
TEST,DM1,ICD9,2509,hospitalisation_secondary,1
TEST,HF,ICD9,4281,hospitalisation_secondary,20
TEST,HF,ICD9,4281,hospitalisation_primary,18
TEST,HF,ICD9,4289,hospitalisation_secondary,4
TEST,HF,ICD9,4280,hospitalisation_secondary,34
TEST,HF,ICD9,4284,hospitalisation_secondary,8
TEST,HF,ICD9,4280,hospitalisation_primary,18
TEST,HF,ICD9,4283,hospitalisation_secondary,2
TEST,HF,ICD9,4282,hospitalisation_secondary,6
TEST,HF,ICD9,4283,hospitalisation_secondary,4
TEST,HF,ICD9,4041,hospitalisation_primary,2
TEST,HF,ICD9,4029,hospitalisation_secondary,4
TEST,HF,ICD9,4284,hospitalisation_secondary,2
TEST,HF,ICD9,4289,hospitalisation_primary,2
TEST,HF,ICD9,4284,hospitalisation_primary,2
TEST,HF,ICD9,428,exemption,2
TEST,HF,ICD9,4282,hospitalisation_primary,2
TEST,HF,ICD9,4284,hospitalisation_primary,2
TEST,HF,ICD9,4029,hospitalisation_secondary,6
TEST,HF,ICD9,4021,hospitalisation_secondary,10
TEST,HF,ICD9,402,exemption,6
TEST,HF,ICD9,4020,hospitalisation_secondary,1
TEST,HF,ICD9,5184,hospitalisation_primary,2
TEST,HF,ICD9,5184,hospitalisation_secondary,1
TEST,HF,ICD9,4021,hospitalisation_secondary,1
TEST,HF,ICD9,4020,hospitalisation_secondary,1
TEST,HF,ICD9,4021,hospitalisation_primary,1
