"",IT-ARS,IT-ARS
"",Narrow,Broad
ACUASEARTHRITIS,"",""
2020,0,1
2021,0,1
ADEM,"",""
2020,0,1
2021,0,0
AKI,"",""
2020,22,37
2021,16,22
ALI,"",""
2020,1,1
2021,0,0
ANOSMIA,"",""
2020,0,0
2021,0,0
ARD,"",""
2020,3,7
2021,3,4
ARR,"",""
2020,79,79
2021,41,41
ArterialNoTP,"",""
2020,26,0
2021,18,0
ArterialTP,"",""
2020,0,0
2021,0,0
ArterialVTENoTP,"",""
2020,32,0
2021,22,0
ArterialVTETP,"",""
2020,0,0
2021,0,0
BP,"",""
2020,1,1
2021,0,0
CAD,"",""
2020,16,74
2021,18,53
CHILBLAIN,"",""
2020,0,0
2021,0,0
CONTRDIVERTIC,"",""
2020,0,0
2021,0,0
CONTRHYPERT,"",""
2020,417,0
2021,587,0
CVSTNoTP,"",""
2020,0,0
2021,0,0
CVSTTP,"",""
2020,0,0
2021,0,0
DEATH,"",""
2020,92,0
2021,58,0
DIC,"",""
2020,0,0
2021,0,0
DM1,"",""
2020,2,56
2021,1,47
ERYTH,"",""
2020,0,0
2021,0,0
GBS,"",""
2020,0,0
2021,0,0
Hemostroke,"",""
2020,7,7
2021,4,4
HF,"",""
2020,40,60
2021,26,36
Ischstroke,"",""
2020,14,17
2021,7,7
KD,"",""
2020,0,0
2021,0,0
MENINGOENC,"",""
2020,0,1
2021,0,0
MICROANGIO,"",""
2020,0,0
2021,0,0
MIS,"",""
2020,0,5
2021,0,4
MISCC,"",""
2020,0,0
2021,0,0
MYOCARD,"",""
2020,1,1
2021,2,2
Myocardalone,"",""
2020,0,0
2021,0,0
NARCOLEPSY,"",""
2020,0,0
2021,0,0
PERICARD,"",""
2020,1,2
2021,2,3
Sinusthrom,"",""
2020,0,0
2021,0,0
SOCV,"",""
2020,0,0
2021,0,0
STRCARD,"",""
2020,0,0
2021,0,0
SUDDENDEAT,"",""
2020,0,0
2021,0,0
TMA,"",""
2020,0,0
2021,0,0
TP,"",""
2020,1,1
2021,0,0
TRANSMYELITIS,"",""
2020,0,0
2021,0,0
VTE,"",""
2020,9,9
2021,5,5
VTENoTP,"",""
2020,6,0
2021,4,0
VTETP,"",""
2020,0,0
2021,0,0
ANAPHYL,"",""
2020,0,3
2021,0,2
GENCONV,"",""
2020,6,6
2021,7,7
COVID_L1plus,"",""
2020,106,0
2021,131,0
COVID_L2plus,"",""
2020,24,0
2021,38,0
COVID_L3plus,"",""
2020,12,0
2021,7,0
COVID_L4plus,"",""
2020,9,0
2021,6,0
COVID_L5plus,"",""
2020,9,0
2021,5,0
