DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,AKI_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,AKI_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,AKI_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,AKI_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,AKI_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,AKI_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,AKI_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,AKI_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,AKI_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,AKI_narrow,40-49,Male,77866,469.08,11.88,2613.52,total
TEST,AKI_narrow,50-59,Female,148962,0,0,904.5,total
TEST,AKI_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,AKI_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,AKI_narrow,60-69,Male,123402,295.98,7.49,1649.12,total
TEST,AKI_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,AKI_narrow,70-79,Male,109158,669.21,81.04,2417.43,total
TEST,AKI_narrow,80+,Female,114516,1275.8,347.61,3266.57,total
TEST,AKI_narrow,80+,Male,77146,946.91,114.67,3420.55,total
TEST,AKI_narrow,0-59,Female,347700,0,0,387.51,total
TEST,AKI_narrow,0-59,Male,305884,119.41,3.02,665.3,total
TEST,AKI_narrow,60+,Female,372180,392.55,106.96,1005.09,total
TEST,AKI_narrow,60+,Male,309706,589.67,191.46,1376.1,total
TEST,ALI_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,ALI_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,ALI_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,ALI_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,ALI_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,ALI_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,ALI_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,ALI_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,ALI_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,ALI_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,ALI_narrow,50-59,Female,149328,0,0,902.28,total
TEST,ALI_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,ALI_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,ALI_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,ALI_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,ALI_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,ALI_narrow,80+,Female,115656,0,0,1164.97,total
TEST,ALI_narrow,80+,Male,77592,0,0,1736.47,total
TEST,ALI_narrow,0-59,Female,348066,0,0,387.1,total
TEST,ALI_narrow,0-59,Male,305976,0,0,440.35,total
TEST,ALI_narrow,60+,Female,373320,0,0,360.91,total
TEST,ALI_narrow,60+,Male,310734,0,0,433.61,total
TEST,ARD_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,ARD_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,ARD_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,ARD_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,ARD_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,ARD_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,ARD_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,ARD_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,ARD_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,ARD_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,ARD_narrow,50-59,Female,149328,0,0,902.28,total
TEST,ARD_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,ARD_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,ARD_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,ARD_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,ARD_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,ARD_narrow,80+,Female,115656,0,0,1164.97,total
TEST,ARD_narrow,80+,Male,77592,0,0,1736.47,total
TEST,ARD_narrow,0-59,Female,348066,0,0,387.1,total
TEST,ARD_narrow,0-59,Male,305976,0,0,440.35,total
TEST,ARD_narrow,60+,Female,373320,0,0,360.91,total
TEST,ARD_narrow,60+,Male,310734,0,0,433.61,total
TEST,ARR_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,ARR_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,ARR_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,ARR_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,ARR_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,ARR_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,ARR_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,ARR_narrow,30-39,Male,46116,0,0,2921.68,total
TEST,ARR_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,ARR_narrow,40-49,Male,77592,0,0,1736.47,total
TEST,ARR_narrow,50-59,Female,148738,245.57,6.22,1368.21,total
TEST,ARR_narrow,50-59,Male,134322,0,0,1003.08,total
TEST,ARR_narrow,60-69,Female,125538,0,0,1073.27,total
TEST,ARR_narrow,60-69,Male,121720,900.22,185.65,2630.83,total
TEST,ARR_narrow,70-79,Female,131568,832.84,171.75,2433.91,total
TEST,ARR_narrow,70-79,Male,105523,2422.93,974.14,4992.16,total
TEST,ARR_narrow,80+,Female,110985,2303.69,926.2,4746.48,total
TEST,ARR_narrow,80+,Male,72617,4526.83,2069.96,8593.34,total
TEST,ARR_narrow,0-59,Female,347476,105.12,2.66,585.66,total
TEST,ARR_narrow,0-59,Male,304878,0,0,441.94,total
TEST,ARR_narrow,60+,Female,368091,992.28,475.84,1824.84,total
TEST,ARR_narrow,60+,Male,299860,2314.33,1393.38,3614.11,total
TEST,ArterialNoTP,12-17,Female,12444,0,0,10827.41,total
TEST,ArterialNoTP,12-17,Male,8052,0,0,16733.27,total
TEST,ArterialNoTP,18-24,Female,20862,0,0,6458.46,total
TEST,ArterialNoTP,18-24,Male,21594,0,0,6239.53,total
TEST,ArterialNoTP,25-29,Female,16836,0,0,8002.87,total
TEST,ArterialNoTP,25-29,Male,17202,0,0,7832.6,total
TEST,ArterialNoTP,30-39,Female,55632,0,0,2421.92,total
TEST,ArterialNoTP,30-39,Male,46482,0,0,2898.68,total
TEST,ArterialNoTP,40-49,Female,92964,0,0,1449.34,total
TEST,ArterialNoTP,40-49,Male,77958,0,0,1728.32,total
TEST,ArterialNoTP,50-59,Female,149328,0,0,902.28,total
TEST,ArterialNoTP,50-59,Male,134322,0,0,1003.08,total
TEST,ArterialNoTP,60-69,Female,125904,0,0,1070.15,total
TEST,ArterialNoTP,60-69,Male,122118,1196.38,325.97,3063.22,total
TEST,ArterialNoTP,70-79,Female,129808,1406.89,456.81,3283.2,total
TEST,ArterialNoTP,70-79,Male,107983,676.5,81.93,2443.73,total
TEST,ArterialNoTP,80+,Female,113600,964.57,198.92,2818.88,total
TEST,ArterialNoTP,80+,Male,76514,1909.45,520.26,4888.96,total
TEST,ArterialNoTP,0-59,Female,348066,0,0,387.1,total
TEST,ArterialNoTP,0-59,Male,305610,0,0,440.88,total
TEST,ArterialNoTP,60+,Female,369312,791.2,341.58,1558.98,total
TEST,ArterialNoTP,60+,Male,306615,1191.23,571.24,2190.72,total
TEST,ArterialVTENoTP,12-17,Female,12444,0,0,10827.41,total
TEST,ArterialVTENoTP,12-17,Male,8052,0,0,16733.27,total
TEST,ArterialVTENoTP,18-24,Female,20862,0,0,6458.46,total
TEST,ArterialVTENoTP,18-24,Male,21594,0,0,6239.53,total
TEST,ArterialVTENoTP,25-29,Female,16836,0,0,8002.87,total
TEST,ArterialVTENoTP,25-29,Male,17202,0,0,7832.6,total
TEST,ArterialVTENoTP,30-39,Female,55632,0,0,2421.92,total
TEST,ArterialVTENoTP,30-39,Male,46482,0,0,2898.68,total
TEST,ArterialVTENoTP,40-49,Female,92964,0,0,1449.34,total
TEST,ArterialVTENoTP,40-49,Male,77958,0,0,1728.32,total
TEST,ArterialVTENoTP,50-59,Female,149328,0,0,902.28,total
TEST,ArterialVTENoTP,50-59,Male,134322,0,0,1003.08,total
TEST,ArterialVTENoTP,60-69,Female,125904,0,0,1070.15,total
TEST,ArterialVTENoTP,60-69,Male,122118,1196.38,325.97,3063.22,total
TEST,ArterialVTENoTP,70-79,Female,129215,1978.68,795.53,4076.83,total
TEST,ArterialVTENoTP,70-79,Male,107617,678.8,82.21,2452.04,total
TEST,ArterialVTENoTP,80+,Female,112148,1628.43,528.75,3800.21,total
TEST,ArterialVTENoTP,80+,Male,76514,1909.45,520.26,4888.96,total
TEST,ArterialVTENoTP,0-59,Female,348066,0,0,387.1,total
TEST,ArterialVTENoTP,0-59,Male,305610,0,0,440.88,total
TEST,ArterialVTENoTP,60+,Female,367267,1193.41,616.65,2084.65,total
TEST,ArterialVTENoTP,60+,Male,306249,1192.66,571.93,2193.34,total
TEST,BP_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,BP_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,BP_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,BP_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,BP_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,BP_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,BP_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,BP_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,BP_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,BP_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,BP_narrow,50-59,Female,149328,0,0,902.28,total
TEST,BP_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,BP_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,BP_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,BP_narrow,70-79,Female,131608,277.53,7.03,1546.29,total
TEST,BP_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,BP_narrow,80+,Female,115656,0,0,1164.97,total
TEST,BP_narrow,80+,Male,77592,0,0,1736.47,total
TEST,BP_narrow,0-59,Female,348066,0,0,387.1,total
TEST,BP_narrow,0-59,Male,305976,0,0,440.35,total
TEST,BP_narrow,60+,Female,373168,97.88,2.48,545.34,total
TEST,BP_narrow,60+,Male,310734,0,0,433.61,total
TEST,CAD_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,CAD_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,CAD_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,CAD_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,CAD_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,CAD_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,CAD_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,CAD_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,CAD_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,CAD_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,CAD_narrow,50-59,Female,149328,0,0,902.28,total
TEST,CAD_narrow,50-59,Male,134322,0,0,1003.08,total
TEST,CAD_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,CAD_narrow,60-69,Male,122118,1196.38,325.97,3063.22,total
TEST,CAD_narrow,70-79,Female,130273,1121.49,305.57,2871.46,total
TEST,CAD_narrow,70-79,Male,107986,338.24,8.56,1884.54,total
TEST,CAD_narrow,80+,Female,114697,318.45,8.06,1774.28,total
TEST,CAD_narrow,80+,Male,76708,952.31,115.33,3440.08,total
TEST,CAD_narrow,0-59,Female,348066,0,0,387.1,total
TEST,CAD_narrow,0-59,Male,305610,0,0,440.88,total
TEST,CAD_narrow,60+,Female,370874,492.42,159.89,1149.14,total
TEST,CAD_narrow,60+,Male,306812,833.33,335.04,1716.97,total
TEST,CVSTNoTP,12-17,Female,12444,0,0,10827.41,total
