DAP,AESI,Age in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,12-17,20496,0,0,6573.79,total
TEST,DM1_narrow,18-24,42456,0,0,3173.55,total
TEST,DM1_narrow,25-29,34038,0,0,3958.41,total
TEST,DM1_narrow,30-39,102114,0,0,1319.47,total
TEST,DM1_narrow,40-49,170922,0,0,788.29,total
TEST,DM1_narrow,50-59,284016,0,0,474.4,total
TEST,DM1_narrow,60-69,249612,0,0,539.78,total
TEST,DM1_narrow,70-79,241194,0,0,558.62,total
TEST,DM1_narrow,80+,193248,0,0,697.22,total
TEST,DM1_narrow,0-59,654042,0,0,206.01,total
TEST,DM1_narrow,60+,684054,0,0,196.97,total
TEST,HF_narrow,12-17,20496,0,0,6573.79,total
TEST,HF_narrow,18-24,42456,0,0,3173.55,total
TEST,HF_narrow,25-29,34038,0,0,3958.41,total
TEST,HF_narrow,30-39,102114,0,0,1319.47,total
TEST,HF_narrow,40-49,170922,0,0,788.29,total
TEST,HF_narrow,50-59,283284,0,0,475.62,total
TEST,HF_narrow,60-69,248948,146.72,3.71,817.46,total
TEST,HF_narrow,70-79,237606,614.88,167.54,1574.35,total
TEST,HF_narrow,80+,187103,1756.92,803.38,3335.18,total
TEST,HF_narrow,0-59,653310,0,0,206.24,total
TEST,HF_narrow,60+,673657,759.07,414.99,1273.58,total
TEST,CAD_narrow,12-17,20496,0,0,6573.79,total
TEST,CAD_narrow,18-24,42456,0,0,3173.55,total
TEST,CAD_narrow,25-29,34038,0,0,3958.41,total
TEST,CAD_narrow,30-39,102114,0,0,1319.47,total
TEST,CAD_narrow,40-49,170922,0,0,788.29,total
TEST,CAD_narrow,50-59,283650,0,0,475.01,total
TEST,CAD_narrow,60-69,248022,589.06,160.5,1508.23,total
TEST,CAD_narrow,70-79,238259,766.5,248.88,1788.75,total
TEST,CAD_narrow,80+,191405,572.48,118.06,1673.02,total
TEST,CAD_narrow,0-59,653676,0,0,206.12,total
TEST,CAD_narrow,60+,677686,646.76,334.19,1129.76,total
TEST,ARR_narrow,12-17,20496,0,0,6573.79,total
TEST,ARR_narrow,18-24,42456,0,0,3173.55,total
TEST,ARR_narrow,25-29,34038,0,0,3958.41,total
TEST,ARR_narrow,30-39,101748,0,0,1324.22,total
TEST,ARR_narrow,40-49,170556,0,0,789.98,total
TEST,ARR_narrow,50-59,283060,129.04,3.27,718.94,total
TEST,ARR_narrow,60-69,247258,443.16,91.39,1295.1,total
TEST,ARR_narrow,70-79,237091,1540.55,738.75,2833.12,total
TEST,ARR_narrow,80+,183602,3182.97,1819.34,5168.95,total
TEST,ARR_narrow,0-59,652354,55.99,1.42,311.95,total
TEST,ARR_narrow,60+,667951,1585.78,1062.02,2277.45,total
TEST,MYOCARD_narrow,12-17,20496,0,0,6573.79,total
TEST,MYOCARD_narrow,18-24,42456,0,0,3173.55,total
TEST,MYOCARD_narrow,25-29,34038,0,0,3958.41,total
TEST,MYOCARD_narrow,30-39,102114,0,0,1319.47,total
TEST,MYOCARD_narrow,40-49,170922,0,0,788.29,total
TEST,MYOCARD_narrow,50-59,283650,0,0,475.01,total
TEST,MYOCARD_narrow,60-69,249612,0,0,539.78,total
TEST,MYOCARD_narrow,70-79,240500,151.87,3.85,846.17,total
TEST,MYOCARD_narrow,80+,192882,0,0,698.54,total
TEST,MYOCARD_narrow,0-59,653676,0,0,206.12,total
TEST,MYOCARD_narrow,60+,682994,53.48,1.35,297.96,total
TEST,PERICARD_narrow,12-17,20496,0,0,6573.79,total
TEST,PERICARD_narrow,18-24,42456,0,0,3173.55,total
TEST,PERICARD_narrow,25-29,34038,0,0,3958.41,total
TEST,PERICARD_narrow,30-39,102114,0,0,1319.47,total
TEST,PERICARD_narrow,40-49,170922,0,0,788.29,total
TEST,PERICARD_narrow,50-59,283650,0,0,475.01,total
TEST,PERICARD_narrow,60-69,249612,0,0,539.78,total
TEST,PERICARD_narrow,70-79,240500,151.87,3.85,846.17,total
TEST,PERICARD_narrow,80+,192882,0,0,698.54,total
TEST,PERICARD_narrow,0-59,653676,0,0,206.12,total
TEST,PERICARD_narrow,60+,682994,53.48,1.35,297.96,total
TEST,ALI_narrow,12-17,20496,0,0,6573.79,total
TEST,ALI_narrow,18-24,42456,0,0,3173.55,total
TEST,ALI_narrow,25-29,34038,0,0,3958.41,total
TEST,ALI_narrow,30-39,102114,0,0,1319.47,total
TEST,ALI_narrow,40-49,170922,0,0,788.29,total
TEST,ALI_narrow,50-59,284016,0,0,474.4,total
TEST,ALI_narrow,60-69,249612,0,0,539.78,total
TEST,ALI_narrow,70-79,241194,0,0,558.62,total
TEST,ALI_narrow,80+,193248,0,0,697.22,total
TEST,ALI_narrow,0-59,654042,0,0,206.01,total
TEST,ALI_narrow,60+,684054,0,0,196.97,total
TEST,AKI_narrow,12-17,20496,0,0,6573.79,total
TEST,AKI_narrow,18-24,42456,0,0,3173.55,total
TEST,AKI_narrow,25-29,34038,0,0,3958.41,total
TEST,AKI_narrow,30-39,102114,0,0,1319.47,total
TEST,AKI_narrow,40-49,170830,213.81,5.41,1191.27,total
TEST,AKI_narrow,50-59,283650,0,0,475.01,total
TEST,AKI_narrow,60-69,249306,146.51,3.71,816.28,total
TEST,AKI_narrow,70-79,240918,303.22,36.72,1095.32,total
TEST,AKI_narrow,80+,191662,1143.42,419.61,2488.74,total
TEST,AKI_narrow,0-59,653584,55.88,1.41,311.37,total
TEST,AKI_narrow,60+,681886,482.08,220.44,915.14,total
TEST,GENCONV_narrow,12-17,20496,0,0,6573.79,total
TEST,GENCONV_narrow,18-24,42456,0,0,3173.55,total
TEST,GENCONV_narrow,25-29,34038,0,0,3958.41,total
TEST,GENCONV_narrow,30-39,102114,0,0,1319.47,total
TEST,GENCONV_narrow,40-49,170862,427.54,51.78,1544.41,total
TEST,GENCONV_narrow,50-59,284016,0,0,474.4,total
TEST,GENCONV_narrow,60-69,249582,146.34,3.71,815.38,total
TEST,GENCONV_narrow,70-79,241194,0,0,558.62,total
TEST,GENCONV_narrow,80+,193248,0,0,697.22,total
TEST,GENCONV_narrow,0-59,653982,111.7,13.53,403.5,total
TEST,GENCONV_narrow,60+,684024,53.4,1.35,297.51,total
TEST,ARD_narrow,12-17,20496,0,0,6573.79,total
TEST,ARD_narrow,18-24,42456,0,0,3173.55,total
TEST,ARD_narrow,25-29,34038,0,0,3958.41,total
TEST,ARD_narrow,30-39,102114,0,0,1319.47,total
TEST,ARD_narrow,40-49,170922,0,0,788.29,total
TEST,ARD_narrow,50-59,284016,0,0,474.4,total
TEST,ARD_narrow,60-69,249612,0,0,539.78,total
TEST,ARD_narrow,70-79,241194,0,0,558.62,total
TEST,ARD_narrow,80+,193248,0,0,697.22,total
TEST,ARD_narrow,0-59,654042,0,0,206.01,total
TEST,ARD_narrow,60+,684054,0,0,196.97,total
TEST,MISCC_narrow,12-17,20496,0,0,6573.79,total
TEST,MISCC_narrow,18-24,42456,0,0,3173.55,total
TEST,MISCC_narrow,25-29,34038,0,0,3958.41,total
TEST,MISCC_narrow,30-39,102114,0,0,1319.47,total
TEST,MISCC_narrow,40-49,170922,0,0,788.29,total
TEST,MISCC_narrow,50-59,284016,0,0,474.4,total
TEST,MISCC_narrow,60-69,249612,0,0,539.78,total
TEST,MISCC_narrow,70-79,241194,0,0,558.62,total
TEST,MISCC_narrow,80+,193248,0,0,697.22,total
TEST,MISCC_narrow,0-59,654042,0,0,206.01,total
TEST,MISCC_narrow,60+,684054,0,0,196.97,total
TEST,Hemostroke_narrow,12-17,20496,0,0,6573.79,total
TEST,Hemostroke_narrow,18-24,42456,0,0,3173.55,total
TEST,Hemostroke_narrow,25-29,34038,0,0,3958.41,total
TEST,Hemostroke_narrow,30-39,102114,0,0,1319.47,total
TEST,Hemostroke_narrow,40-49,170922,0,0,788.29,total
TEST,Hemostroke_narrow,50-59,284016,0,0,474.4,total
TEST,Hemostroke_narrow,60-69,249396,146.45,3.71,815.99,total
TEST,Hemostroke_narrow,70-79,240586,151.82,3.84,845.87,total
TEST,Hemostroke_narrow,80+,193248,0,0,697.22,total
TEST,Hemostroke_narrow,0-59,654042,0,0,206.01,total
TEST,Hemostroke_narrow,60+,683230,106.92,12.95,386.23,total
TEST,Ischstroke_narrow,12-17,20496,0,0,6573.79,total
TEST,Ischstroke_narrow,18-24,42456,0,0,3173.55,total
TEST,Ischstroke_narrow,25-29,34038,0,0,3958.41,total
TEST,Ischstroke_narrow,30-39,102114,0,0,1319.47,total
TEST,Ischstroke_narrow,40-49,170922,0,0,788.29,total
TEST,Ischstroke_narrow,50-59,284016,0,0,474.4,total
TEST,Ischstroke_narrow,60-69,249612,0,0,539.78,total
TEST,Ischstroke_narrow,70-79,240726,303.46,36.75,1096.19,total
TEST,Ischstroke_narrow,80+,191957,761.11,207.38,1948.74,total
TEST,Ischstroke_narrow,0-59,654042,0,0,206.01,total
TEST,Ischstroke_narrow,60+,682295,321.2,117.87,699.11,total
TEST,Sinusthrom_narrow,12-17,20496,0,0,6573.79,total
TEST,Sinusthrom_narrow,18-24,42456,0,0,3173.55,total
TEST,Sinusthrom_narrow,25-29,34038,0,0,3958.41,total
TEST,Sinusthrom_narrow,30-39,102114,0,0,1319.47,total
TEST,Sinusthrom_narrow,40-49,170556,0,0,789.98,total
TEST,Sinusthrom_narrow,50-59,284016,0,0,474.4,total
TEST,Sinusthrom_narrow,60-69,249612,0,0,539.78,total
TEST,Sinusthrom_narrow,70-79,241194,0,0,558.62,total
TEST,Sinusthrom_narrow,80+,193248,0,0,697.22,total
TEST,Sinusthrom_narrow,0-59,653676,0,0,206.12,total
TEST,Sinusthrom_narrow,60+,684054,0,0,196.97,total
TEST,VTE_narrow,12-17,20496,0,0,6573.79,total
TEST,VTE_narrow,18-24,42456,0,0,3173.55,total
TEST,VTE_narrow,25-29,34038,0,0,3958.41,total
TEST,VTE_narrow,30-39,102114,0,0,1319.47,total
TEST,VTE_narrow,40-49,170922,0,0,788.29,total
TEST,VTE_narrow,50-59,284016,0,0,474.4,total
TEST,VTE_narrow,60-69,249612,0,0,539.78,total
TEST,VTE_narrow,70-79,240235,304.08,36.83,1098.43,total
TEST,VTE_narrow,80+,191796,380.87,46.13,1375.85,total
TEST,VTE_narrow,0-59,654042,0,0,206.01,total
TEST,VTE_narrow,60+,681643,214.34,58.4,548.78,total
TEST,TP_narrow,12-17,20496,0,0,6573.79,total
TEST,TP_narrow,18-24,42456,0,0,3173.55,total
TEST,TP_narrow,25-29,34038,0,0,3958.41,total
TEST,TP_narrow,30-39,102114,0,0,1319.47,total
TEST,TP_narrow,40-49,170922,0,0,788.29,total
TEST,TP_narrow,50-59,284016,0,0,474.4,total
TEST,TP_narrow,60-69,249246,0,0,540.58,total
TEST,TP_narrow,70-79,241194,0,0,558.62,total
TEST,TP_narrow,80+,193248,0,0,697.22,total
TEST,TP_narrow,0-59,654042,0,0,206.01,total
TEST,TP_narrow,60+,683688,0,0,197.07,total
TEST,BP_narrow,12-17,20496,0,0,6573.79,total
TEST,BP_narrow,18-24,42456,0,0,3173.55,total
TEST,BP_narrow,25-29,34038,0,0,3958.41,total
TEST,BP_narrow,30-39,102114,0,0,1319.47,total
TEST,BP_narrow,40-49,170922,0,0,788.29,total
TEST,BP_narrow,50-59,284016,0,0,474.4,total
TEST,BP_narrow,60-69,249612,0,0,539.78,total
TEST,BP_narrow,70-79,241042,151.53,3.84,844.27,total
TEST,BP_narrow,80+,193248,0,0,697.22,total
TEST,BP_narrow,0-59,654042,0,0,206.01,total
TEST,BP_narrow,60+,683902,53.41,1.35,297.56,total
TEST,MIS_KD_narrow,12-17,20496,0,0,6573.79,total
TEST,MIS_KD_narrow,18-24,42456,0,0,3173.55,total
TEST,MIS_KD_narrow,25-29,34038,0,0,3958.41,total
TEST,MIS_KD_narrow,30-39,102114,0,0,1319.47,total
TEST,MIS_KD_narrow,40-49,170922,0,0,788.29,total
TEST,MIS_KD_narrow,50-59,284016,0,0,474.4,total
TEST,MIS_KD_narrow,60-69,249612,0,0,539.78,total
TEST,MIS_KD_narrow,70-79,241194,0,0,558.62,total
TEST,MIS_KD_narrow,80+,193248,0,0,697.22,total
TEST,MIS_KD_narrow,0-59,654042,0,0,206.01,total
TEST,MIS_KD_narrow,60+,684054,0,0,196.97,total
TEST,ArterialNoTP,12-17,20496,0,0,6573.79,total
TEST,ArterialNoTP,18-24,42456,0,0,3173.55,total
TEST,ArterialNoTP,25-29,34038,0,0,3958.41,total
TEST,ArterialNoTP,30-39,102114,0,0,1319.47,total
TEST,ArterialNoTP,40-49,170922,0,0,788.29,total
TEST,ArterialNoTP,50-59,283650,0,0,475.01,total
TEST,ArterialNoTP,60-69,248022,589.06,160.5,1508.23,total
TEST,ArterialNoTP,70-79,237791,1075.21,432.29,2215.34,total
TEST,ArterialNoTP,80+,190114,1344.85,540.7,2770.91,total
TEST,ArterialNoTP,0-59,653676,0,0,206.12,total
TEST,ArterialNoTP,60+,675927,972.66,576.46,1537.23,total
TEST,VTENoTP,12-17,20496,0,0,6573.79,total
TEST,VTENoTP,18-24,42456,0,0,3173.55,total
TEST,VTENoTP,25-29,34038,0,0,3958.41,total
TEST,VTENoTP,30-39,102114,0,0,1319.47,total
TEST,VTENoTP,40-49,170922,0,0,788.29,total
TEST,VTENoTP,50-59,284016,0,0,474.4,total
TEST,VTENoTP,60-69,249612,0,0,539.78,total
TEST,VTENoTP,70-79,240235,304.08,36.83,1098.43,total
TEST,VTENoTP,80+,191796,380.87,46.13,1375.85,total
TEST,VTENoTP,0-59,654042,0,0,206.01,total
TEST,VTENoTP,60+,681643,214.34,58.4,548.78,total
TEST,ArterialVTENoTP,12-17,20496,0,0,6573.79,total
TEST,ArterialVTENoTP,18-24,42456,0,0,3173.55,total
TEST,ArterialVTENoTP,25-29,34038,0,0,3958.41,total
TEST,ArterialVTENoTP,30-39,102114,0,0,1319.47,total
TEST,ArterialVTENoTP,40-49,170922,0,0,788.29,total
TEST,ArterialVTENoTP,50-59,283650,0,0,475.01,total
TEST,ArterialVTENoTP,60-69,248022,589.06,160.5,1508.23,total
TEST,ArterialVTENoTP,70-79,236832,1388.01,634.69,2634.87,total
TEST,ArterialVTENoTP,80+,188662,1742.4,796.74,3307.62,total
TEST,ArterialVTENoTP,0-59,653676,0,0,206.12,total
TEST,ArterialVTENoTP,60+,673516,1193.07,747.69,1806.32,total
TEST,CVSTNoTP,12-17,20496,0,0,6573.79,total
TEST,CVSTNoTP,18-24,42456,0,0,3173.55,total
TEST,CVSTNoTP,25-29,34038,0,0,3958.41,total
TEST,CVSTNoTP,30-39,102114,0,0,1319.47,total
TEST,CVSTNoTP,40-49,170556,0,0,789.98,total
TEST,CVSTNoTP,50-59,284016,0,0,474.4,total
TEST,CVSTNoTP,60-69,249612,0,0,539.78,total
TEST,CVSTNoTP,70-79,241194,0,0,558.62,total
TEST,CVSTNoTP,80+,193248,0,0,697.22,total
TEST,CVSTNoTP,0-59,653676,0,0,206.12,total
TEST,CVSTNoTP,60+,684054,0,0,196.97,total
