DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,January,113336,0,0,1188.82,total
TEST,DM1_narrow,February,106024,0,0,1270.81,total
TEST,DM1_narrow,March,113336,0,0,1188.82,total
TEST,DM1_narrow,April,109680,0,0,1228.45,total
TEST,DM1_narrow,May,113336,0,0,1188.82,total
TEST,DM1_narrow,June,109680,0,0,1228.45,total
TEST,DM1_narrow,July,113336,0,0,1188.82,total
TEST,DM1_narrow,August,113336,0,0,1188.82,total
TEST,DM1_narrow,September,109680,0,0,1228.45,total
TEST,DM1_narrow,October,113336,0,0,1188.82,total
TEST,DM1_narrow,November,109680,0,0,1228.45,total
TEST,DM1_narrow,December,113336,0,0,1188.82,total
TEST,HF_narrow,January,112592,0,0,1196.68,total
TEST,HF_narrow,February,105310,346.83,8.78,1932.43,total
TEST,HF_narrow,March,112538,324.56,8.22,1808.32,total
TEST,HF_narrow,April,108900,0,0,1237.25,total
TEST,HF_narrow,May,112486,974.12,200.89,2846.8,total
TEST,HF_narrow,June,108784,335.76,8.5,1870.72,total
TEST,HF_narrow,July,112386,325,8.23,1810.76,total
TEST,HF_narrow,August,112335,650.29,78.75,2349.06,total
TEST,HF_narrow,September,108647,672.36,81.43,2428.8,total
TEST,HF_narrow,October,112244,325.41,8.24,1813.05,total
TEST,HF_narrow,November,108575,336.4,8.52,1874.32,total
TEST,HF_narrow,December,112170,325.62,8.24,1814.25,total
TEST,CAD_narrow,January,112944,970.17,200.07,2835.25,total
TEST,CAD_narrow,February,105616,345.83,8.76,1926.83,total
TEST,CAD_narrow,March,112871,0,0,1193.72,total
TEST,CAD_narrow,April,109230,0,0,1233.51,total
TEST,CAD_narrow,May,112834,647.41,78.4,2338.67,total
TEST,CAD_narrow,June,109137,669.34,81.06,2417.89,total
TEST,CAD_narrow,July,112730,324,8.2,1805.24,total
TEST,CAD_narrow,August,112716,0,0,1195.36,total
TEST,CAD_narrow,September,109048,1004.83,207.22,2936.55,total
TEST,CAD_narrow,October,112623,0,0,1196.35,total
TEST,CAD_narrow,November,108990,0,0,1236.23,total
TEST,CAD_narrow,December,112623,0,0,1196.35,total
TEST,ARR_narrow,January,112227,976.37,201.35,2853.37,total
TEST,ARR_narrow,February,104946,348.04,8.81,1939.13,total
TEST,ARR_narrow,March,112117,977.33,201.55,2856.16,total
TEST,ARR_narrow,April,108450,0,0,1242.38,total
TEST,ARR_narrow,May,112020,1304.23,355.36,3339.35,total
TEST,ARR_narrow,June,108305,1011.73,208.64,2956.69,total
TEST,ARR_narrow,July,111807,653.36,79.12,2360.15,total
TEST,ARR_narrow,August,111707,1634.86,530.83,3815.21,total
TEST,ARR_narrow,September,107988,1014.7,209.25,2965.37,total
TEST,ARR_narrow,October,111481,982.9,202.7,2872.46,total
TEST,ARR_narrow,November,107850,0,0,1249.29,total
TEST,ARR_narrow,December,111407,983.56,202.83,2874.37,total
TEST,MYOCARD_narrow,January,113243,0,0,1189.8,total
TEST,MYOCARD_narrow,February,105915,344.85,8.73,1921.39,total
TEST,MYOCARD_narrow,March,113212,0,0,1190.12,total
TEST,MYOCARD_narrow,April,109560,0,0,1229.79,total
TEST,MYOCARD_narrow,May,113212,0,0,1190.12,total
TEST,MYOCARD_narrow,June,109560,0,0,1229.79,total
TEST,MYOCARD_narrow,July,113212,0,0,1190.12,total
TEST,MYOCARD_narrow,August,113212,0,0,1190.12,total
TEST,MYOCARD_narrow,September,109560,0,0,1229.79,total
TEST,MYOCARD_narrow,October,113212,0,0,1190.12,total
TEST,MYOCARD_narrow,November,109560,0,0,1229.79,total
TEST,MYOCARD_narrow,December,113212,0,0,1190.12,total
TEST,PERICARD_narrow,January,113243,0,0,1189.8,total
TEST,PERICARD_narrow,February,105915,344.85,8.73,1921.39,total
TEST,PERICARD_narrow,March,113212,0,0,1190.12,total
TEST,PERICARD_narrow,April,109560,0,0,1229.79,total
TEST,PERICARD_narrow,May,113212,0,0,1190.12,total
TEST,PERICARD_narrow,June,109560,0,0,1229.79,total
TEST,PERICARD_narrow,July,113212,0,0,1190.12,total
TEST,PERICARD_narrow,August,113212,0,0,1190.12,total
TEST,PERICARD_narrow,September,109560,0,0,1229.79,total
TEST,PERICARD_narrow,October,113212,0,0,1190.12,total
TEST,PERICARD_narrow,November,109560,0,0,1229.79,total
TEST,PERICARD_narrow,December,113212,0,0,1190.12,total
TEST,ALI_narrow,January,113336,0,0,1188.82,total
TEST,ALI_narrow,February,106024,0,0,1270.81,total
TEST,ALI_narrow,March,113336,0,0,1188.82,total
TEST,ALI_narrow,April,109680,0,0,1228.45,total
TEST,ALI_narrow,May,113336,0,0,1188.82,total
TEST,ALI_narrow,June,109680,0,0,1228.45,total
TEST,ALI_narrow,July,113336,0,0,1188.82,total
TEST,ALI_narrow,August,113336,0,0,1188.82,total
TEST,ALI_narrow,September,109680,0,0,1228.45,total
TEST,ALI_narrow,October,113336,0,0,1188.82,total
TEST,ALI_narrow,November,109680,0,0,1228.45,total
TEST,ALI_narrow,December,113336,0,0,1188.82,total
TEST,AKI_narrow,January,113274,0,0,1189.47,total
TEST,AKI_narrow,February,105941,689.53,83.51,2490.84,total
TEST,AKI_narrow,March,113185,322.7,8.17,1797.98,total
TEST,AKI_narrow,April,109509,333.53,8.44,1858.33,total
TEST,AKI_narrow,May,113150,0,0,1190.78,total
TEST,AKI_narrow,June,109500,0,0,1230.47,total
TEST,AKI_narrow,July,113137,322.84,8.17,1798.74,total
TEST,AKI_narrow,August,113064,969.14,199.86,2832.24,total
TEST,AKI_narrow,September,109380,333.93,8.45,1860.53,total
TEST,AKI_narrow,October,112995,0,0,1192.41,total
TEST,AKI_narrow,November,109350,0,0,1232.16,total
TEST,AKI_narrow,December,112985,323.27,8.18,1801.16,total
TEST,GENCONV_narrow,January,113336,0,0,1188.82,total
TEST,GENCONV_narrow,February,106024,0,0,1270.81,total
TEST,GENCONV_narrow,March,113336,0,0,1188.82,total
TEST,GENCONV_narrow,April,109680,0,0,1228.45,total
TEST,GENCONV_narrow,May,113336,0,0,1188.82,total
TEST,GENCONV_narrow,June,109680,0,0,1228.45,total
TEST,GENCONV_narrow,July,113336,0,0,1188.82,total
TEST,GENCONV_narrow,August,113316,322.33,8.16,1795.9,total
TEST,GENCONV_narrow,September,109634,666.31,80.69,2406.93,total
TEST,GENCONV_narrow,October,113312,0,0,1189.07,total
TEST,GENCONV_narrow,November,109680,0,0,1228.45,total
TEST,GENCONV_narrow,December,113336,0,0,1188.82,total
TEST,ARD_narrow,January,113336,0,0,1188.82,total
TEST,ARD_narrow,February,106024,0,0,1270.81,total
TEST,ARD_narrow,March,113336,0,0,1188.82,total
TEST,ARD_narrow,April,109680,0,0,1228.45,total
TEST,ARD_narrow,May,113336,0,0,1188.82,total
TEST,ARD_narrow,June,109680,0,0,1228.45,total
TEST,ARD_narrow,July,113336,0,0,1188.82,total
TEST,ARD_narrow,August,113336,0,0,1188.82,total
TEST,ARD_narrow,September,109680,0,0,1228.45,total
TEST,ARD_narrow,October,113336,0,0,1188.82,total
TEST,ARD_narrow,November,109680,0,0,1228.45,total
TEST,ARD_narrow,December,113336,0,0,1188.82,total
TEST,KD_narrow,January,113336,0,0,1188.82,total
TEST,KD_narrow,February,106024,0,0,1270.81,total
TEST,KD_narrow,March,113336,0,0,1188.82,total
TEST,KD_narrow,April,109680,0,0,1228.45,total
TEST,KD_narrow,May,113336,0,0,1188.82,total
TEST,KD_narrow,June,109680,0,0,1228.45,total
TEST,KD_narrow,July,113336,0,0,1188.82,total
TEST,KD_narrow,August,113336,0,0,1188.82,total
TEST,KD_narrow,September,109680,0,0,1228.45,total
TEST,KD_narrow,October,113336,0,0,1188.82,total
TEST,KD_narrow,November,109680,0,0,1228.45,total
TEST,KD_narrow,December,113336,0,0,1188.82,total
TEST,MISCC_narrow,January,113336,0,0,1188.82,total
TEST,MISCC_narrow,February,106024,0,0,1270.81,total
TEST,MISCC_narrow,March,113336,0,0,1188.82,total
TEST,MISCC_narrow,April,109680,0,0,1228.45,total
TEST,MISCC_narrow,May,113336,0,0,1188.82,total
TEST,MISCC_narrow,June,109680,0,0,1228.45,total
TEST,MISCC_narrow,July,113336,0,0,1188.82,total
TEST,MISCC_narrow,August,113336,0,0,1188.82,total
TEST,MISCC_narrow,September,109680,0,0,1228.45,total
TEST,MISCC_narrow,October,113336,0,0,1188.82,total
TEST,MISCC_narrow,November,109680,0,0,1228.45,total
TEST,MISCC_narrow,December,113336,0,0,1188.82,total
TEST,Hemostroke_narrow,January,113305,0,0,1189.15,total
TEST,Hemostroke_narrow,February,105995,0,0,1271.16,total
TEST,Hemostroke_narrow,March,113305,0,0,1189.15,total
TEST,Hemostroke_narrow,April,109650,0,0,1228.79,total
TEST,Hemostroke_narrow,May,113275,644.89,78.1,2329.57,total
TEST,Hemostroke_narrow,June,109590,0,0,1229.46,total
TEST,Hemostroke_narrow,July,113243,0,0,1189.8,total
TEST,Hemostroke_narrow,August,113243,0,0,1189.8,total
TEST,Hemostroke_narrow,September,109590,0,0,1229.46,total
TEST,Hemostroke_narrow,October,113243,0,0,1189.8,total
TEST,Hemostroke_narrow,November,109590,0,0,1229.46,total
TEST,Hemostroke_narrow,December,113243,0,0,1189.8,total
TEST,Ischstroke_narrow,January,113243,322.54,8.17,1797.06,total
TEST,Ischstroke_narrow,February,105908,0,0,1272.2,total
TEST,Ischstroke_narrow,March,113212,0,0,1190.12,total
TEST,Ischstroke_narrow,April,109560,0,0,1229.79,total
TEST,Ischstroke_narrow,May,113212,0,0,1190.12,total
TEST,Ischstroke_narrow,June,109560,0,0,1229.79,total
TEST,Ischstroke_narrow,July,113195,322.67,8.17,1797.82,total
TEST,Ischstroke_narrow,August,113181,0,0,1190.45,total
TEST,Ischstroke_narrow,September,109523,333.49,8.44,1858.1,total
TEST,Ischstroke_narrow,October,113150,0,0,1190.78,total
TEST,Ischstroke_narrow,November,109500,0,0,1230.47,total
TEST,Ischstroke_narrow,December,113093,968.89,199.81,2831.52,total
TEST,Sinusthrom_narrow,January,113305,0,0,1189.15,total
TEST,Sinusthrom_narrow,February,105995,0,0,1271.16,total
TEST,Sinusthrom_narrow,March,113305,0,0,1189.15,total
TEST,Sinusthrom_narrow,April,109650,0,0,1228.79,total
TEST,Sinusthrom_narrow,May,113305,0,0,1189.15,total
TEST,Sinusthrom_narrow,June,109650,0,0,1228.79,total
TEST,Sinusthrom_narrow,July,113305,0,0,1189.15,total
TEST,Sinusthrom_narrow,August,113305,0,0,1189.15,total
TEST,Sinusthrom_narrow,September,109650,0,0,1228.79,total
TEST,Sinusthrom_narrow,October,113305,0,0,1189.15,total
TEST,Sinusthrom_narrow,November,109650,0,0,1228.79,total
TEST,Sinusthrom_narrow,December,113305,0,0,1189.15,total
TEST,VTE_narrow,January,113181,0,0,1190.45,total
TEST,VTE_narrow,February,105879,0,0,1272.55,total
TEST,VTE_narrow,March,113181,0,0,1190.45,total
TEST,VTE_narrow,April,109530,0,0,1230.13,total
TEST,VTE_narrow,May,113176,322.73,8.17,1798.12,total
TEST,VTE_narrow,June,109481,333.62,8.45,1858.81,total
TEST,VTE_narrow,July,113119,0,0,1191.1,total
TEST,VTE_narrow,August,113106,322.93,8.18,1799.24,total
TEST,VTE_narrow,September,109440,0,0,1231.14,total
TEST,VTE_narrow,October,113088,0,0,1191.43,total
TEST,VTE_narrow,November,109440,0,0,1231.14,total
TEST,VTE_narrow,December,113064,323.05,8.18,1799.9,total
TEST,TP_narrow,January,113305,0,0,1189.15,total
TEST,TP_narrow,February,105995,0,0,1271.16,total
TEST,TP_narrow,March,113305,0,0,1189.15,total
TEST,TP_narrow,April,109650,0,0,1228.79,total
TEST,TP_narrow,May,113305,0,0,1189.15,total
TEST,TP_narrow,June,109650,0,0,1228.79,total
TEST,TP_narrow,July,113305,0,0,1189.15,total
TEST,TP_narrow,August,113305,0,0,1189.15,total
TEST,TP_narrow,September,109650,0,0,1228.79,total
TEST,TP_narrow,October,113305,0,0,1189.15,total
TEST,TP_narrow,November,109650,0,0,1228.79,total
TEST,TP_narrow,December,113305,0,0,1189.15,total
TEST,BP_narrow,January,113336,0,0,1188.82,total
TEST,BP_narrow,February,106024,0,0,1270.81,total
TEST,BP_narrow,March,113336,0,0,1188.82,total
TEST,BP_narrow,April,109680,0,0,1228.45,total
TEST,BP_narrow,May,113336,0,0,1188.82,total
TEST,BP_narrow,June,109680,0,0,1228.45,total
TEST,BP_narrow,July,113336,0,0,1188.82,total
TEST,BP_narrow,August,113306,322.36,8.16,1796.06,total
TEST,BP_narrow,September,109650,0,0,1228.79,total
TEST,BP_narrow,October,113305,0,0,1189.15,total
TEST,BP_narrow,November,109650,0,0,1228.79,total
TEST,BP_narrow,December,113305,0,0,1189.15,total
TEST,MIS_KD_narrow,January,113336,0,0,1188.82,total
TEST,MIS_KD_narrow,February,106024,0,0,1270.81,total
TEST,MIS_KD_narrow,March,113336,0,0,1188.82,total
TEST,MIS_KD_narrow,April,109680,0,0,1228.45,total
TEST,MIS_KD_narrow,May,113336,0,0,1188.82,total
TEST,MIS_KD_narrow,June,109680,0,0,1228.45,total
TEST,MIS_KD_narrow,July,113336,0,0,1188.82,total
TEST,MIS_KD_narrow,August,113336,0,0,1188.82,total
TEST,MIS_KD_narrow,September,109680,0,0,1228.45,total
TEST,MIS_KD_narrow,October,113336,0,0,1188.82,total
TEST,MIS_KD_narrow,November,109680,0,0,1228.45,total
TEST,MIS_KD_narrow,December,113336,0,0,1188.82,total
TEST,ArterialNoTP,January,112851,1294.63,352.74,3314.76,total
TEST,ArterialNoTP,February,105500,346.21,8.77,1928.95,total
TEST,ArterialNoTP,March,112747,0,0,1195.03,total
TEST,ArterialNoTP,April,109110,0,0,1234.87,total
TEST,ArterialNoTP,May,112710,648.12,78.49,2341.24,total
TEST,ArterialNoTP,June,109017,670.08,81.15,2420.56,total
TEST,ArterialNoTP,July,112589,648.82,78.58,2343.76,total
TEST,ArterialNoTP,August,112561,0,0,1197.01,total
TEST,ArterialNoTP,September,108891,1341.71,365.57,3435.31,total
TEST,ArterialNoTP,October,112437,0,0,1198.33,total
TEST,ArterialNoTP,November,108810,0,0,1238.27,total
TEST,ArterialNoTP,December,112380,975.04,201.08,2849.48,total
TEST,VTENoTP,January,113181,0,0,1190.45,total
TEST,VTENoTP,February,105879,0,0,1272.55,total
TEST,VTENoTP,March,113181,0,0,1190.45,total
TEST,VTENoTP,April,109530,0,0,1230.13,total
TEST,VTENoTP,May,113176,322.73,8.17,1798.12,total
TEST,VTENoTP,June,109481,333.62,8.45,1858.81,total
TEST,VTENoTP,July,113119,0,0,1191.1,total
TEST,VTENoTP,August,113106,322.93,8.18,1799.24,total
TEST,VTENoTP,September,109440,0,0,1231.14,total
TEST,VTENoTP,October,113088,0,0,1191.43,total
TEST,VTENoTP,November,109440,0,0,1231.14,total
TEST,VTENoTP,December,113064,323.05,8.18,1799.9,total
TEST,ArterialVTENoTP,January,112696,1296.41,353.23,3319.32,total
TEST,ArterialVTENoTP,February,105355,346.69,8.78,1931.61,total
TEST,ArterialVTENoTP,March,112592,0,0,1196.68,total
TEST,ArterialVTENoTP,April,108960,0,0,1236.57,total
TEST,ArterialVTENoTP,May,112550,973.57,200.77,2845.18,total
TEST,ArterialVTENoTP,June,108818,1006.96,207.66,2942.75,total
TEST,ArterialVTENoTP,July,112372,650.07,78.73,2348.29,total
TEST,ArterialVTENoTP,August,112331,325.16,8.23,1811.65,total
TEST,ArterialVTENoTP,September,108651,1344.67,366.38,3442.9,total
TEST,ArterialVTENoTP,October,112189,0,0,1200.98,total
TEST,ArterialVTENoTP,November,108570,0,0,1241.01,total
TEST,ArterialVTENoTP,December,112108,1303.21,355.08,3336.73,total
TEST,CVSTNoTP,January,113305,0,0,1189.15,total
TEST,CVSTNoTP,February,105995,0,0,1271.16,total
TEST,CVSTNoTP,March,113305,0,0,1189.15,total
TEST,CVSTNoTP,April,109650,0,0,1228.79,total
TEST,CVSTNoTP,May,113305,0,0,1189.15,total
TEST,CVSTNoTP,June,109650,0,0,1228.79,total
TEST,CVSTNoTP,July,113305,0,0,1189.15,total
TEST,CVSTNoTP,August,113305,0,0,1189.15,total
TEST,CVSTNoTP,September,109650,0,0,1228.79,total
TEST,CVSTNoTP,October,113305,0,0,1189.15,total
TEST,CVSTNoTP,November,109650,0,0,1228.79,total
TEST,CVSTNoTP,December,113305,0,0,1189.15,total
