DAP,AESI,Age in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,12-17,0,0,0,6573.79,total
TEST,DM1_narrow,18-24,0,0,0,3173.55,total
TEST,DM1_narrow,25-29,0,0,0,3958.41,total
TEST,DM1_narrow,30-39,0,0,0,1319.47,total
TEST,DM1_narrow,40-49,0,0,0,788.29,total
TEST,DM1_narrow,50-59,0,0,0,474.4,total
TEST,DM1_narrow,60-69,0,0,0,539.78,total
TEST,DM1_narrow,70-79,0,0,0,558.62,total
TEST,DM1_narrow,80+,0,0,0,697.22,total
TEST,DM1_narrow,0-59,0,0,0,206.01,total
TEST,DM1_narrow,60+,0,0,0,196.97,total
TEST,HF_narrow,12-17,0,0,0,6573.79,total
TEST,HF_narrow,18-24,0,0,0,3173.55,total
TEST,HF_narrow,25-29,0,0,0,3958.41,total
TEST,HF_narrow,30-39,0,0,0,1319.47,total
TEST,HF_narrow,40-49,0,0,0,788.29,total
TEST,HF_narrow,50-59,0,0,0,475.62,total
TEST,HF_narrow,60-69,1,146.72,3.71,817.46,total
TEST,HF_narrow,70-79,4,614.88,167.54,1574.35,total
TEST,HF_narrow,80+,9,1756.92,803.38,3335.18,total
TEST,HF_narrow,0-59,0,0,0,206.24,total
TEST,HF_narrow,60+,14,759.07,414.99,1273.58,total
TEST,CAD_narrow,12-17,0,0,0,6573.79,total
TEST,CAD_narrow,18-24,0,0,0,3173.55,total
TEST,CAD_narrow,25-29,0,0,0,3958.41,total
TEST,CAD_narrow,30-39,0,0,0,1319.47,total
TEST,CAD_narrow,40-49,0,0,0,788.29,total
TEST,CAD_narrow,50-59,0,0,0,475.01,total
TEST,CAD_narrow,60-69,4,589.06,160.5,1508.23,total
TEST,CAD_narrow,70-79,5,766.5,248.88,1788.75,total
TEST,CAD_narrow,80+,3,572.48,118.06,1673.02,total
TEST,CAD_narrow,0-59,0,0,0,206.12,total
TEST,CAD_narrow,60+,12,646.76,334.19,1129.76,total
TEST,ARR_narrow,12-17,0,0,0,6573.79,total
TEST,ARR_narrow,18-24,0,0,0,3173.55,total
TEST,ARR_narrow,25-29,0,0,0,3958.41,total
TEST,ARR_narrow,30-39,0,0,0,1324.22,total
TEST,ARR_narrow,40-49,0,0,0,789.98,total
TEST,ARR_narrow,50-59,1,129.04,3.27,718.94,total
TEST,ARR_narrow,60-69,3,443.16,91.39,1295.1,total
TEST,ARR_narrow,70-79,10,1540.55,738.75,2833.12,total
TEST,ARR_narrow,80+,16,3182.97,1819.34,5168.95,total
TEST,ARR_narrow,0-59,1,55.99,1.42,311.95,total
TEST,ARR_narrow,60+,29,1585.78,1062.02,2277.45,total
TEST,MYOCARD_narrow,12-17,0,0,0,6573.79,total
TEST,MYOCARD_narrow,18-24,0,0,0,3173.55,total
TEST,MYOCARD_narrow,25-29,0,0,0,3958.41,total
TEST,MYOCARD_narrow,30-39,0,0,0,1319.47,total
TEST,MYOCARD_narrow,40-49,0,0,0,788.29,total
TEST,MYOCARD_narrow,50-59,0,0,0,475.01,total
TEST,MYOCARD_narrow,60-69,0,0,0,539.78,total
TEST,MYOCARD_narrow,70-79,1,151.87,3.85,846.17,total
TEST,MYOCARD_narrow,80+,0,0,0,698.54,total
TEST,MYOCARD_narrow,0-59,0,0,0,206.12,total
TEST,MYOCARD_narrow,60+,1,53.48,1.35,297.96,total
TEST,PERICARD_narrow,12-17,0,0,0,6573.79,total
TEST,PERICARD_narrow,18-24,0,0,0,3173.55,total
TEST,PERICARD_narrow,25-29,0,0,0,3958.41,total
TEST,PERICARD_narrow,30-39,0,0,0,1319.47,total
TEST,PERICARD_narrow,40-49,0,0,0,788.29,total
TEST,PERICARD_narrow,50-59,0,0,0,475.01,total
TEST,PERICARD_narrow,60-69,0,0,0,539.78,total
TEST,PERICARD_narrow,70-79,1,151.87,3.85,846.17,total
TEST,PERICARD_narrow,80+,0,0,0,698.54,total
TEST,PERICARD_narrow,0-59,0,0,0,206.12,total
TEST,PERICARD_narrow,60+,1,53.48,1.35,297.96,total
TEST,ALI_narrow,12-17,0,0,0,6573.79,total
TEST,ALI_narrow,18-24,0,0,0,3173.55,total
TEST,ALI_narrow,25-29,0,0,0,3958.41,total
TEST,ALI_narrow,30-39,0,0,0,1319.47,total
TEST,ALI_narrow,40-49,0,0,0,788.29,total
TEST,ALI_narrow,50-59,0,0,0,474.4,total
TEST,ALI_narrow,60-69,0,0,0,539.78,total
TEST,ALI_narrow,70-79,0,0,0,558.62,total
TEST,ALI_narrow,80+,0,0,0,697.22,total
TEST,ALI_narrow,0-59,0,0,0,206.01,total
TEST,ALI_narrow,60+,0,0,0,196.97,total
TEST,AKI_narrow,12-17,0,0,0,6573.79,total
TEST,AKI_narrow,18-24,0,0,0,3173.55,total
TEST,AKI_narrow,25-29,0,0,0,3958.41,total
TEST,AKI_narrow,30-39,0,0,0,1319.47,total
TEST,AKI_narrow,40-49,1,213.81,5.41,1191.27,total
TEST,AKI_narrow,50-59,0,0,0,475.01,total
TEST,AKI_narrow,60-69,1,146.51,3.71,816.28,total
TEST,AKI_narrow,70-79,2,303.22,36.72,1095.32,total
TEST,AKI_narrow,80+,6,1143.42,419.61,2488.74,total
TEST,AKI_narrow,0-59,1,55.88,1.41,311.37,total
TEST,AKI_narrow,60+,9,482.08,220.44,915.14,total
TEST,GENCONV_narrow,12-17,0,0,0,6573.79,total
TEST,GENCONV_narrow,18-24,0,0,0,3173.55,total
TEST,GENCONV_narrow,25-29,0,0,0,3958.41,total
TEST,GENCONV_narrow,30-39,0,0,0,1319.47,total
TEST,GENCONV_narrow,40-49,2,427.54,51.78,1544.41,total
