DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,AstraZeneca,2020,50,0,0,6633,0
TEST,AstraZeneca,2020,50,0,0,6633,0
TEST,J&J,2020,50,0,0,6633,0
TEST,J&J,2020,50,0,0,6633,0
TEST,Moderna,2020,50,0,0,6633,0
TEST,Moderna,2020,50,0,0,6633,0
TEST,Pfizer,2020,50,0,0,6633,0
TEST,Pfizer,2020,50,0,0,6633,0
TEST,UKN,2020,50,0,0,6633,0
TEST,UKN,2020,50,0,0,6633,0
TEST,AstraZeneca,2020,51,0,0,6617,0
TEST,AstraZeneca,2020,51,0,0,6617,0
TEST,J&J,2020,51,0,0,6617,0
TEST,J&J,2020,51,0,0,6617,0
TEST,Moderna,2020,51,0,0,6617,0
TEST,Moderna,2020,51,0,0,6617,0
TEST,Pfizer,2020,51,0,0,6617,0
TEST,Pfizer,2020,51,0,0,6617,0
TEST,UKN,2020,51,0,0,6617,0
TEST,UKN,2020,51,0,0,6617,0
TEST,AstraZeneca,2020,52,0,0,6603,0
TEST,AstraZeneca,2020,52,0,0,6603,0
TEST,J&J,2020,52,0,0,6603,0
TEST,J&J,2020,52,0,0,6603,0
TEST,Moderna,2020,52,0,0,6603,0
TEST,Moderna,2020,52,0,0,6603,0
TEST,Pfizer,2020,52,5,5,6603,0.1
TEST,Pfizer,2020,52,5,0,6603,0
TEST,UKN,2020,52,0,0,6603,0
TEST,UKN,2020,52,0,0,6603,0
TEST,AstraZeneca,2021,1,0,0,6587,0
TEST,AstraZeneca,2021,1,0,0,6587,0
TEST,J&J,2021,1,0,0,6587,0
TEST,J&J,2021,1,0,0,6587,0
TEST,Moderna,2021,1,0,0,6587,0
TEST,Moderna,2021,1,0,0,6587,0
TEST,Pfizer,2021,1,54,54,6587,0.8
TEST,Pfizer,2021,1,54,0,6587,0
TEST,UKN,2021,1,0,0,6587,0
TEST,UKN,2021,1,0,0,6587,0
TEST,AstraZeneca,2021,2,0,0,6566,0
TEST,AstraZeneca,2021,2,0,0,6566,0
TEST,J&J,2021,2,0,0,6566,0
TEST,J&J,2021,2,0,0,6566,0
TEST,Moderna,2021,2,0,0,6566,0
TEST,Moderna,2021,2,0,0,6566,0
TEST,Pfizer,2021,2,93,93,6566,1.4
TEST,Pfizer,2021,2,93,0,6566,0
TEST,UKN,2021,2,0,0,6566,0
TEST,UKN,2021,2,0,0,6566,0
TEST,AstraZeneca,2021,3,0,0,6552,0
TEST,AstraZeneca,2021,3,0,0,6552,0
TEST,J&J,2021,3,0,0,6552,0
TEST,J&J,2021,3,0,0,6552,0
TEST,Moderna,2021,3,5,5,6552,0.1
TEST,Moderna,2021,3,5,0,6552,0
TEST,Pfizer,2021,3,112,110,6552,1.7
