"",Parameters,IT-ARS,IT-ARS
"","",N,%
AstraZeneca dose 1,Persons,444,29.98%
Moderna dose 1,Persons,126,8.508%
Moderna dose 2,Persons,43,34.127%
Amongst persons with Moderna dose 2 distance,Min,24,""
Amongst persons with Moderna dose 2 distance,P25,26,""
Amongst persons with Moderna dose 2 distance,P50,28,""
Amongst persons with Moderna dose 2 distance,P75,30,""
Amongst persons with Moderna dose 2 distance,Max,33,""
Pfizer dose 1,Persons,911,61.512%
Pfizer dose 2,Persons,455,49.945%
Amongst persons with Pfizer dose 2 distance,Min,16,""
Amongst persons with Pfizer dose 2 distance,P25,19,""
Amongst persons with Pfizer dose 2 distance,P50,21,""
Amongst persons with Pfizer dose 2 distance,P75,23,""
Amongst persons with Pfizer dose 2 distance,Max,63,""
