 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,2498,68.3%,388,10.6%,664,18.2%,106,2.9%
Person-years of follow-up,PY,179,51.1%,31,8.9%,130,37.1%,10,2.9%
Month of first vaccination,"",1,"",1,"",2,"",4,""
January 2021,N,112,4.5%,5,1.3%,0,0%,0,0%
February 2021,N,107,4.3%,11,2.8%,81,12.2%,0,0%
March 2021,N,233,9.3%,50,12.9%,167,25.2%,0,0%
April 2021,N,503,20.1%,68,17.5%,207,31.2%,16,15.1%
May 2021,N,598,23.9%,119,30.7%,192,28.9%,31,29.2%
June 2021,N,945,37.8%,135,34.8%,17,2.6%,59,55.7%
Age in years,Min,15,"",18,"",23,"",59,""
Age in years,P25,49,"",39,"",56,"",60,""
Age in years,P50,61,"",57,"",69,"",62,""
Age in years,Mean,61,"",52,"",64,"",64,""
Age in years,P75,79,"",65,"",75,"",68,""
Age in years,Max,99,"",83,"",79,"",79,""
Age in categories,12-17,30,1.2%,0,0%,0,0%,0,0%
Age in categories,18-24,93,3.7%,25,6.4%,4,0.6%,0,0%
Age in categories,25-29,60,2.4%,11,2.8%,14,2.1%,0,0%
Age in categories,30-39,168,6.7%,68,17.5%,27,4.1%,0,0%
Age in categories,40-49,281,11.2%,61,15.7%,74,11.1%,0,0%
Age in categories,50-59,559,22.4%,98,25.3%,84,12.7%,20,18.9%
Age in categories,60-69,430,17.2%,66,17%,141,21.2%,63,59.4%
Age in categories,70-79,269,10.8%,54,13.9%,320,48.2%,23,21.7%
Age in categories,80+,608,24.3%,5,1.3%,0,0%,0,0%
Age in categories,60+,1307,52.3%,125,32.2%,461,69.4%,86,81.1%
Person years across age categories,12-17,1,0.6%,0,0%,0,0%,0,0%
Person years across age categories,18-24,4,2.2%,1,3.2%,1,0.8%,0,0%
Person years across age categories,25-29,3,1.7%,1,3.2%,3,2.3%,0,0%
Person years across age categories,30-39,10,5.6%,4,12.9%,6,4.6%,0,0%
Person years across age categories,40-49,19,10.7%,4,12.9%,16,12.3%,0,0%
Person years across age categories,50-59,38,21.3%,9,29%,18,13.8%,2,20%
Person years across age categories,60-69,35,19.7%,7,22.6%,19,14.6%,5,50%
Person years across age categories,70-79,20,11.2%,5,16.1%,67,51.5%,3,30%
Person years across age categories,80+,48,27%,0,0%,0,0%,0,0%
Person years across age categories,60+,103,57.9%,12,38.7%,86,66.1%,8,80%
Person years across sex,Female,1339,53.6%,187,48.2%,390,58.7%,55,51.9%
Person years across sex,Male,1159,46.4%,201,51.8%,274,41.3%,51,48.1%
At risk population at date of vaccination,CV,674,27%,72,18.6%,125,18.8%,11,10.4%
At risk population at date of vaccination,Cancer,86,22.2%,41,6.2%,8,7.5%,2,0.1%
At risk population at date of vaccination,CLD,133,20%,26,24.5%,46,1.8%,6,1.5%
At risk population at date of vaccination,HIV,6,5.7%,6,0.2%,2,0.5%,0,0%
At risk population at date of vaccination,CKD,18,0.7%,5,1.3%,1,0.2%,0,0%
At risk population at date of vaccination,Diabetes,271,69.8%,40,6%,34,32.1%,4,0.2%
At risk population at date of vaccination,Obesity,3,0.5%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Sicklecell,5,4.7%,2,0.1%,0,0%,0,0%
At risk population at date of vaccination,immunosuppressants,165,6.6%,33,8.5%,32,4.8%,1,0.9%
