sex,Dose,type_vax,week,riskfactor,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM_narrow_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,ALI_narrow_b,ALI_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,KD_narrow_b,KD_broad_b,MISCC_narrow_b,MISCC_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,Sinusthrom_narrow_b,Sinusthrom_broad_b,VTE_narrow_b,VTE_broad_b,TP_narrow_b,TP_broad_b,BP_narrow_b,BP_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,CVSTNoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_narrow,lb_DM_narrow,ub_DM_narrow,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_ALI_narrow,lb_ALI_narrow,ub_ALI_narrow,IR_ALI_broad,lb_ALI_broad,ub_ALI_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MISCC_narrow,lb_MISCC_narrow,ub_MISCC_narrow,IR_MISCC_broad,lb_MISCC_broad,ub_MISCC_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_Sinusthrom_narrow,lb_Sinusthrom_narrow,ub_Sinusthrom_narrow,IR_Sinusthrom_broad,lb_Sinusthrom_broad,ub_Sinusthrom_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_TP_narrow,lb_TP_narrow,ub_TP_narrow,IR_TP_broad,lb_TP_broad,ub_TP_broad,IR_BP_narrow,lb_BP_narrow,ub_BP_narrow,IR_BP_broad,lb_BP_broad,ub_BP_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP,IR_CVSTNoTP,lb_CVSTNoTP,ub_CVSTNoTP
0,0,0,2020-01-06,CV,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,33383.63,0,0,33441.63,0,0,33383.63,9355.79,236.87,52127.12,0,0,34459.42,0,0,34960.13,9133.53,231.24,50888.79,9413.66,238.33,52449.56,0,0,34459.42,0,0,34459.42,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33600.08,0,0,33776.97,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33499.83,0,0,33499.83,0,0,33675.66,0,0,33853.35,0,0,33441.63,0,0,33441.63,0,0,33616.85,0,0,33616.85,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33558.24,0,0,74398.85,0,0,33383.63,0,0,33383.63,0,0,33383.63,9214.18,233.28,51338.11,0,0,33616.85,9279.73,234.94,51703.32,0,0,33441.63
0,0,0,2020-01-13,CV,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33566.6,0,0,33625.24,0,0,33566.6,0,0,34690.09,0,0,34654.4,0,0,35160.84,0,0,33921.53,0,0,34969.2,9406.39,238.15,52409.03,9406.39,238.15,52409.03,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,9149.55,231.65,50978.02,9197.94,232.87,51247.61,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33684.08,0,0,33684.08,0,0,33861.86,0,0,34041.52,0,0,33625.24,0,0,33625.24,0,0,33802.39,0,0,33802.39,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33743.13,0,0,74687.54,0,0,33566.6,0,0,33566.6,9099.4,230.38,50698.62,0,0,34223.09,0,0,33802.39,0,0,34468.23,0,0,33625.24
0,0,0,2020-01-20,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33751.58,0,0,33810.87,0,0,33751.58,0,0,34851.61,0,0,34806.59,0,0,35317.52,0,0,34110.46,0,0,35069.32,0,0,34914.83,0,0,34914.83,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33989.99,0,0,34171.02,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33870.37,0,0,33870.37,0,0,34050.12,0,0,34231.79,0,0,33810.87,0,0,33810.87,0,0,33989.99,0,0,33989.99,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33930.07,0,0,75398.05,0,0,33751.58,0,0,33751.58,9149.55,231.65,50978.02,0,0,34415.41,0,0,33989.99,0,0,34663.32,0,0,33810.87
0,0,0,2020-01-27,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,33861.86,0,0,33921.53,0,0,33861.86,0,0,34969.2,0,0,34905.78,0,0,35419.64,0,0,34223.09,0,0,35160.84,0,0,35032.85,0,0,35032.85,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,34101.83,0,0,34284.05,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33981.42,0,0,33981.42,9265.6,234.58,51624.63,9315.23,235.84,51901.12,0,0,33921.53,0,0,33921.53,0,0,34101.83,0,0,34101.83,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,34041.52,20577.46,520.98,114650.3,0,0,33861.86,0,0,33861.86,0,0,33861.86,9365.38,237.11,52180.58,0,0,34101.83,9433.11,238.83,52557.92,0,0,33921.53
0,0,0,2020-02-03,CV,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,33947.17,0,0,34007.15,0,0,33947.17,9509.24,240.75,52982.11,0,0,34996.45,0,0,35513,0,0,34310.24,0,0,35252.83,0,0,35124.17,0,0,35124.17,9207.21,233.11,51299.29,9207.21,233.11,51299.29,0,0,33947.17,0,0,33947.17,9279.73,234.94,51703.32,9329.5,236.2,51980.66,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,34067.34,0,0,34067.34,9300.99,235.48,51821.82,9351,236.75,52100.43,0,0,34007.15,0,0,34007.15,0,0,34188.36,0,0,34188.36,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,34127.74,62152.58,12817.36,181636.22,0,0,33947.17,0,0,33947.17,0,0,33947.17,9401.54,238.03,52382.05,0,0,34188.36,9469.8,239.75,52762.32,0,0,34007.15
0,0,0,2020-02-10,CV,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34007.15,0,0,34058.73,0,0,34007.15,0,0,35188.38,9516.68,240.94,53023.52,9657.59,244.51,53808.64,0,0,34371.51,0,0,35308.26,0,0,35188.38,0,0,35188.38,0,0,34067.34,0,0,34067.34,0,0,34007.15,0,0,34007.15,0,0,34310.24,0,0,34494.71,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34127.74,0,0,34127.74,0,0,34424.2,0,0,34609.9,0,0,34067.34,0,0,34067.34,0,0,34249.19,0,0,34249.19,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34188.36,0,0,77301.39,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34797.6,0,0,34249.19,0,0,35051.07,0,0,34067.34
0,0,0,2020-02-17,CV,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,35280.52,0,0,35215.98,0,0,35739.08,0,0,34494.71,9601.74,243.09,53497.44,0,0,35317.52,0,0,35317.52,0,0,34188.36,0,0,34188.36,0,0,34127.74,0,0,34127.74,0,0,34433,9394.29,237.84,52341.63,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34249.19,0,0,34249.19,0,0,34494.71,0,0,34681.16,0,0,34188.36,0,0,34188.36,0,0,34371.51,0,0,34371.51,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34310.24,20991.38,531.46,116956.48,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34869.65,0,0,34371.51,0,0,35124.17,0,0,34188.36
0,0,0,2020-02-24,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,35317.52,0,0,35252.83,0,0,35777.04,0,0,34556.64,0,0,35513,0,0,35382.44,0,0,35382.44,0,0,34249.19,0,0,34249.19,0,0,34188.36,0,0,34188.36,0,0,34494.71,0,0,34743.77,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34310.24,0,0,34310.24,0,0,34556.64,0,0,34743.77,0,0,34249.19,0,0,34249.19,0,0,34433,0,0,34433,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34371.51,0,0,77613.09,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34932.93,0,0,34433,0,0,35188.38,0,0,34249.19
0,0,0,2020-03-02,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,35317.52,0,0,35252.83,0,0,35777.04,0,0,34556.64,0,0,35513,0,0,35382.44,0,0,35382.44,0,0,34249.19,0,0,34249.19,0,0,34188.36,0,0,34188.36,0,0,34494.71,0,0,34743.77,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34310.24,0,0,34310.24,0,0,34556.64,0,0,34743.77,0,0,34249.19,0,0,34249.19,0,0,34433,0,0,34433,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34371.51,0,0,77613.09,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34932.93,0,0,34433,0,0,35188.38,0,0,34249.19
0,0,0,2020-03-09,CV,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,35401.03,0,0,35336.04,0,0,35862.74,0,0,34636.59,0,0,35597.44,9629.58,243.8,53652.59,9629.58,243.8,53652.59,0,0,34327.73,0,0,34327.73,0,0,34266.61,0,0,34266.61,0,0,34574.37,0,0,34824.59,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34389.06,0,0,34389.06,0,0,34636.59,0,0,34824.59,0,0,34327.73,0,0,34327.73,0,0,34512.38,0,0,34512.38,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34450.61,42152.34,5104.84,152268.73,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,35014.64,0,0,34512.38,0,0,35271.29,0,0,34327.73
