sex,agebands_at_1_jan_2021,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,50-59,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,20-29,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,0,0,0,0,0,0,0,0,1,0,0,0
0,70-79,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2021,0,0,0,0,0,0,0,0,1,0,0,0
0,80+,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,20-29,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,18-19,2021,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,18-19,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,18-19,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021,0,0,0,0,0,0,0,0,0,0,0,0
