sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
1,40-49,2020,68,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0
1,40-49,2021,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0
0,50-59,2020,41,41,41,41,41,41,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,104,104,104,104,104,104,104,104,104,104,104,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,221,221,221,221,221,221,221,221,221,221,221,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,98,98,98,98,98,98,98,98,98,98,98,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0
0,18-24,2021,75,75,75,75,75,75,75,75,75,75,75,0,0,0,0,0,0,0,0,0,0
1,80+,2021,108,108,108,108,108,108,108,108,108,108,108,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,136,136,136,136,136,136,136,136,136,136,136,0,0,0,0,0,0,0,0,0,0
0,70-79,2021,188,188,188,188,188,188,188,188,188,188,188,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,174,174,174,174,174,174,174,174,174,174,174,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,52,52,52,52,52,52,52,52,52,52,52,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0
1,25-29,2020,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,25-29,2021,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,101,101,101,101,101,101,101,101,101,101,101,0,0,0,0,0,0,0,0,0,0
1,80+,2020,35,35,35,35,35,35,35,35,35,35,35,0,0,0,0,0,0,0,0,0,0
