Dose,sex,ageband_at_study_entry,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,0,18-24,,0,0,0,0,0,0,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63
0,1,40-49,,0,1,0,0,0,0,3960.21,100.26,22064.87,0,0,14503.37,0,0,14503.37,0,0,14503.37,0,0,14503.37
0,0,80+,,0,0,0,0,0,0,0,0,52162.73,0,0,52162.73,0,0,52162.73,0,0,52162.73,0,0,52162.73
0,1,70-79,,0,0,0,0,0,0,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01
0,0,80+,,0,0,0,0,0,0,0,0,122710.68,0,0,122710.68,0,0,122710.68,0,0,122710.68,0,0,122710.68
0,0,25-29,,0,0,0,0,0,0,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34
0,0,70-79,,0,1,0,0,0,0,9360.58,236.99,52153.84,0,0,34084.57,0,0,34084.57,0,0,34084.57,0,0,34084.57
0,1,60-69,,0,1,1,1,0,0,6762.64,171.22,37679,6762.64,171.22,37679,6762.64,171.22,37679,0,0,24506.42,0,0,24506.42
0,0,50-59,,0,2,1,1,1,1,6269.31,759.24,22646.9,3124.47,79.1,17408.41,3124.47,79.1,17408.41,3124.47,79.1,17408.41,3124.47,79.1,17408.41
0,0,60-69,,0,0,0,0,0,0,0,0,19165.91,0,0,19165.91,0,0,19165.91,0,0,19165.91,0,0,19165.91
0,1,50-59,,0,1,1,1,0,0,4047.99,102.49,22553.95,4047.99,102.49,22553.95,4047.99,102.49,22553.95,0,0,14577.12,0,0,14577.12
0,1,12-17,,0,0,0,0,0,0,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03
0,0,30-39,,0,0,0,0,0,0,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64
0,1,70-79,,0,0,0,0,0,0,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03
0,1,60-69,,0,1,0,0,0,0,51012.57,1291.53,284223.85,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01
0,0,40-49,,0,1,0,0,0,0,3834.65,97.08,21365.28,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07
1,1,40-49,Pfizer,1,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,1,40-49,Pfizer,2,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,1,40-49,Pfizer,3,0,0,0,0,0,0,0,26947264.41,0,0,26947264.41,0,0,26947264.41,0,0,26947264.41,0,0,26947264.41
0,1,18-24,,0,0,0,0,0,0,0,0,46016.5,0,0,46016.5,0,0,46016.5,0,0,46016.5,0,0,46016.5
0,0,12-17,,0,0,0,0,0,0,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63
0,0,50-59,,0,0,0,0,0,0,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01,0,0,92033.01
0,1,60-69,,0,0,0,0,0,0,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01
0,0,5-11,,0,0,0,0,0,0,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2
0,1,70-79,,0,0,0,0,0,0,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32,0,0,1113523.32
0,1,25-29,,0,1,0,0,0,0,14408.28,364.79,80277.82,0,0,52590.29,0,0,52590.29,0,0,52590.29,0,0,52590.29
0,0,70-79,,0,0,0,0,0,0,0,0,122710.68,0,0,122710.68,0,0,122710.68,0,0,122710.68,0,0,122710.68
0,1,12-17,,0,0,0,0,0,0,0,0,37457.97,0,0,37457.97,0,0,37457.97,0,0,37457.97,0,0,37457.97
