Dose,sex,Birthcohort_persons,type_vax,fup,year,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus
0,0,1990+,,73,2020,13908,13908,13908,13908,13908,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1990+,,73,2021,5320,5199,5320,5320,5320,2,0,0,0,38.47,9.62,153.82,0,0,,0,0,,0,0,
0,1,1970-1979,,50,2020,347,347,347,347,347,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,42,2020,581,581,581,581,581,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,70,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1940-1949,,70,2021,118,118,118,118,118,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,1,1940-1949,Moderna,4,2021,22,22,22,22,22,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,58,2020,366,366,366,366,366,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,58,2021,34,34,34,34,34,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,67,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,67,2021,198,198,198,198,198,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,<1940,Pfizer,6,2021,39,39,39,39,39,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,71,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,71,2021,255,255,255,255,255,0,0,0,0,0,0,,0,0,,0,0,,0,0,
1,0,<1940,Pfizer,3,2021,14,14,14,14,14,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,<1940,,15,2020,98,98,98,98,98,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,73,2020,8418,8418,8418,8418,8418,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,1,1970-1979,,73,2021,3220,3174,3220,3220,3220,1,0,0,0,31.51,4.44,223.7,0,0,,0,0,,0,0,
0,0,1940-1949,,69,2020,732,732,732,732,732,0,0,0,0,0,0,,0,0,,0,0,,0,0,
0,0,1940-1949,,69,2021,230,230,230,230,230,0,0,0,0,0,0,,0,0,,0,0,,0,0,
