datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,IR,lb,ub
ARS,0,none,no_dose,CV,L1,4.93,0.69,35
ARS,0,none,no_dose,any_risk_factors,L1,7.72,2.49,23.94
ARS,0,none,no_dose,IMMUNOSUPPR,L1,9.84,1.39,69.86
ARS,0,none,no_dose,COVDIAB,L1,20.12,5.03,80.45
ARS,0,none,no_dose,COVCOPD,L1,0,0,0
ARS,0,none,no_dose,COVCKD,L1,0,0,0
ARS,1,Pfizer,1,COVDIAB,L1,0,0,0
ARS,1,Pfizer,1,any_risk_factors,L1,0,0,0
ARS,1,Pfizer,1,CV,L1,0,0,0
ARS,2,Pfizer,1,CV,L1,0,0,0
ARS,2,Pfizer,1,COVDIAB,L1,0,0,0
ARS,2,Pfizer,1,any_risk_factors,L1,0,0,0
ARS,0,none,no_dose,COVCANCER,L1,0,0,0
ARS,0,none,no_dose,COVHIV,L1,0,0,0
ARS,1,Pfizer,1,COVCOPD,L1,0,0,0
ARS,2,Pfizer,1,COVCOPD,L1,0,0,0
ARS,3,Pfizer,1,COVCOPD,L1,0,0,0
ARS,3,Pfizer,1,any_risk_factors,L1,0,0,0
ARS,4,Pfizer,1,COVCOPD,L1,0,0,0
ARS,4,Pfizer,1,any_risk_factors,L1,0,0,0
ARS,5,Pfizer,1,COVCOPD,L1,0,0,0
ARS,5,Pfizer,1,any_risk_factors,L1,0,0,0
ARS,0,none,no_dose,CV,L2,0,0,0
ARS,0,none,no_dose,any_risk_factors,L2,0,0,0
ARS,0,none,no_dose,IMMUNOSUPPR,L2,0,0,0
ARS,0,none,no_dose,COVDIAB,L2,0,0,0
ARS,0,none,no_dose,COVCOPD,L2,0,0,0
ARS,0,none,no_dose,COVCKD,L2,0,0,0
ARS,1,Pfizer,1,COVDIAB,L2,0,0,0
ARS,1,Pfizer,1,any_risk_factors,L2,0,0,0
ARS,1,Pfizer,1,CV,L2,0,0,0
ARS,2,Pfizer,1,CV,L2,0,0,0
ARS,2,Pfizer,1,COVDIAB,L2,0,0,0
ARS,2,Pfizer,1,any_risk_factors,L2,0,0,0
ARS,0,none,no_dose,COVCANCER,L2,0,0,0
ARS,0,none,no_dose,COVHIV,L2,0,0,0
ARS,1,Pfizer,1,COVCOPD,L2,0,0,0
ARS,2,Pfizer,1,COVCOPD,L2,0,0,0
ARS,3,Pfizer,1,COVCOPD,L2,0,0,0
ARS,3,Pfizer,1,any_risk_factors,L2,0,0,0
ARS,4,Pfizer,1,COVCOPD,L2,0,0,0
ARS,4,Pfizer,1,any_risk_factors,L2,0,0,0
ARS,5,Pfizer,1,COVCOPD,L2,0,0,0
ARS,5,Pfizer,1,any_risk_factors,L2,0,0,0
ARS,0,none,no_dose,CV,L3,0,0,0
ARS,0,none,no_dose,any_risk_factors,L3,0,0,0
ARS,0,none,no_dose,IMMUNOSUPPR,L3,0,0,0
ARS,0,none,no_dose,COVDIAB,L3,0,0,0
ARS,0,none,no_dose,COVCOPD,L3,0,0,0
ARS,0,none,no_dose,COVCKD,L3,0,0,0
ARS,1,Pfizer,1,COVDIAB,L3,0,0,0
ARS,1,Pfizer,1,any_risk_factors,L3,0,0,0
ARS,1,Pfizer,1,CV,L3,0,0,0
ARS,2,Pfizer,1,CV,L3,0,0,0
ARS,2,Pfizer,1,COVDIAB,L3,0,0,0
ARS,2,Pfizer,1,any_risk_factors,L3,0,0,0
ARS,0,none,no_dose,COVCANCER,L3,0,0,0
ARS,0,none,no_dose,COVHIV,L3,0,0,0
ARS,1,Pfizer,1,COVCOPD,L3,0,0,0
ARS,2,Pfizer,1,COVCOPD,L3,0,0,0
ARS,3,Pfizer,1,COVCOPD,L3,0,0,0
ARS,3,Pfizer,1,any_risk_factors,L3,0,0,0
ARS,4,Pfizer,1,COVCOPD,L3,0,0,0
ARS,4,Pfizer,1,any_risk_factors,L3,0,0,0
ARS,5,Pfizer,1,COVCOPD,L3,0,0,0
ARS,5,Pfizer,1,any_risk_factors,L3,0,0,0
ARS,0,none,no_dose,CV,L4,0,0,0
ARS,0,none,no_dose,any_risk_factors,L4,0,0,0
ARS,0,none,no_dose,IMMUNOSUPPR,L4,0,0,0
ARS,0,none,no_dose,COVDIAB,L4,0,0,0
ARS,0,none,no_dose,COVCOPD,L4,0,0,0
ARS,0,none,no_dose,COVCKD,L4,0,0,0
ARS,1,Pfizer,1,COVDIAB,L4,0,0,0
ARS,1,Pfizer,1,any_risk_factors,L4,0,0,0
ARS,1,Pfizer,1,CV,L4,0,0,0
ARS,2,Pfizer,1,CV,L4,0,0,0
ARS,2,Pfizer,1,COVDIAB,L4,0,0,0
ARS,2,Pfizer,1,any_risk_factors,L4,0,0,0
ARS,0,none,no_dose,COVCANCER,L4,0,0,0
ARS,0,none,no_dose,COVHIV,L4,0,0,0
ARS,1,Pfizer,1,COVCOPD,L4,0,0,0
ARS,2,Pfizer,1,COVCOPD,L4,0,0,0
ARS,3,Pfizer,1,COVCOPD,L4,0,0,0
ARS,3,Pfizer,1,any_risk_factors,L4,0,0,0
ARS,4,Pfizer,1,COVCOPD,L4,0,0,0
ARS,4,Pfizer,1,any_risk_factors,L4,0,0,0
ARS,5,Pfizer,1,COVCOPD,L4,0,0,0
ARS,5,Pfizer,1,any_risk_factors,L4,0,0,0
ARS,0,none,no_dose,CV,L5,0,0,0
ARS,0,none,no_dose,any_risk_factors,L5,0,0,0
ARS,0,none,no_dose,IMMUNOSUPPR,L5,0,0,0
ARS,0,none,no_dose,COVDIAB,L5,0,0,0
ARS,0,none,no_dose,COVCOPD,L5,0,0,0
ARS,0,none,no_dose,COVCKD,L5,0,0,0
ARS,1,Pfizer,1,COVDIAB,L5,0,0,0
ARS,1,Pfizer,1,any_risk_factors,L5,0,0,0
ARS,1,Pfizer,1,CV,L5,0,0,0
ARS,2,Pfizer,1,CV,L5,0,0,0
