datasource,week_since_vaccination,vx_manufacturer,dose,birth_cohort,COVID,IR,lb,ub
ARS,0,none,no_dose,1990+,L1,5.62,1.41,22.47
ARS,0,none,no_dose,1970-1979,L1,11.68,3.77,36.22
ARS,0,none,no_dose,<1940,L1,12.92,3.23,51.66
ARS,0,none,no_dose,1940-1949,L1,10.3,2.58,41.18
ARS,0,none,no_dose,1950-1959,L1,4.33,0.61,30.74
ARS,0,none,no_dose,1960-1969,L1,6.38,1.6,25.51
ARS,0,none,no_dose,1980-1989,L1,10.64,2.66,42.54
ARS,1,Pfizer,1,1970-1979,L1,0,0,0
ARS,2,Pfizer,1,1970-1979,L1,0,0,0
ARS,1,Pfizer,2,1970-1979,L1,0,0,0
ARS,1,Pfizer,1,1960-1969,L1,0,0,0
ARS,1,Pfizer,1,<1940,L1,0,0,0
ARS,2,Pfizer,1,1960-1969,L1,0,0,0
ARS,3,Pfizer,1,1960-1969,L1,0,0,0
ARS,4,Pfizer,1,1960-1969,L1,0,0,0
ARS,1,Pfizer,2,1960-1969,L1,0,0,0
ARS,2,Pfizer,2,1960-1969,L1,0,0,0
ARS,5,Pfizer,1,1960-1969,L1,0,0,0
ARS,2,Pfizer,1,<1940,L1,0,0,0
ARS,1,Pfizer,1,1980-1989,L1,0,0,0
ARS,2,Pfizer,1,1980-1989,L1,0,0,0
ARS,3,Pfizer,1,1980-1989,L1,0,0,0
ARS,4,Pfizer,1,1980-1989,L1,0,0,0
ARS,5,Pfizer,1,1980-1989,L1,0,0,0
ARS,1,AstraZeneca,1,1970-1979,L1,0,0,0
ARS,2,AstraZeneca,1,1970-1979,L1,0,0,0
ARS,3,Pfizer,1,<1940,L1,0,0,0
ARS,4,Pfizer,1,<1940,L1,0,0,0
ARS,5,Pfizer,1,<1940,L1,0,0,0
ARS,1,AstraZeneca,1,1940-1949,L1,0,0,0
ARS,2,AstraZeneca,1,1940-1949,L1,0,0,0
ARS,3,Pfizer,1,1970-1979,L1,0,0,0
ARS,4,Pfizer,1,1970-1979,L1,0,0,0
ARS,5,Pfizer,1,1970-1979,L1,0,0,0
ARS,6,Pfizer,1,1970-1979,L1,0,0,0
ARS,7,Pfizer,1,1970-1979,L1,0,0,0
ARS,8,Pfizer,1,1970-1979,L1,0,0,0
ARS,9,Pfizer,1,1970-1979,L1,0,0,0
ARS,10,Pfizer,1,1970-1979,L1,0,0,0
ARS,11,Pfizer,1,1970-1979,L1,0,0,0
ARS,12,Pfizer,1,1970-1979,L1,0,0,0
ARS,13,Pfizer,1,1970-1979,L1,0,0,0
ARS,14,Pfizer,1,1970-1979,L1,0,0,0
ARS,6,Pfizer,1,1980-1989,L1,0,0,0
ARS,1,Pfizer,2,1980-1989,L1,0,0,0
ARS,2,Pfizer,2,1980-1989,L1,0,0,0
ARS,3,Pfizer,2,1980-1989,L1,0,0,0
ARS,4,Pfizer,2,1980-1989,L1,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,L1,8.27,4.9,13.96
ARS,1,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,L1,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,L1,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,L1,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,L1,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,L1,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,L1,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,L1,0,0,0
ARS,0,none,no_dose,1990+,L2,0,0,0
ARS,0,none,no_dose,1970-1979,L2,3.87,0.55,27.47
ARS,0,none,no_dose,<1940,L2,0,0,0
ARS,0,none,no_dose,1940-1949,L2,0,0,0
ARS,0,none,no_dose,1950-1959,L2,0,0,0
ARS,0,none,no_dose,1960-1969,L2,3.18,0.45,22.58
ARS,0,none,no_dose,1980-1989,L2,0,0,0
ARS,1,Pfizer,1,1970-1979,L2,0,0,0
ARS,2,Pfizer,1,1970-1979,L2,0,0,0
ARS,1,Pfizer,2,1970-1979,L2,0,0,0
ARS,1,Pfizer,1,1960-1969,L2,0,0,0
ARS,1,Pfizer,1,<1940,L2,0,0,0
ARS,2,Pfizer,1,1960-1969,L2,0,0,0
ARS,3,Pfizer,1,1960-1969,L2,0,0,0
ARS,4,Pfizer,1,1960-1969,L2,0,0,0
ARS,1,Pfizer,2,1960-1969,L2,0,0,0
ARS,2,Pfizer,2,1960-1969,L2,0,0,0
ARS,5,Pfizer,1,1960-1969,L2,0,0,0
ARS,2,Pfizer,1,<1940,L2,0,0,0
ARS,1,Pfizer,1,1980-1989,L2,0,0,0
ARS,2,Pfizer,1,1980-1989,L2,0,0,0
ARS,3,Pfizer,1,1980-1989,L2,0,0,0
ARS,4,Pfizer,1,1980-1989,L2,0,0,0
ARS,5,Pfizer,1,1980-1989,L2,0,0,0
ARS,1,AstraZeneca,1,1970-1979,L2,0,0,0
ARS,2,AstraZeneca,1,1970-1979,L2,0,0,0
ARS,3,Pfizer,1,<1940,L2,0,0,0
ARS,4,Pfizer,1,<1940,L2,0,0,0
ARS,5,Pfizer,1,<1940,L2,0,0,0
ARS,1,AstraZeneca,1,1940-1949,L2,0,0,0
ARS,2,AstraZeneca,1,1940-1949,L2,0,0,0
ARS,3,Pfizer,1,1970-1979,L2,0,0,0
ARS,4,Pfizer,1,1970-1979,L2,0,0,0
ARS,5,Pfizer,1,1970-1979,L2,0,0,0
ARS,6,Pfizer,1,1970-1979,L2,0,0,0
ARS,7,Pfizer,1,1970-1979,L2,0,0,0
ARS,8,Pfizer,1,1970-1979,L2,0,0,0
ARS,9,Pfizer,1,1970-1979,L2,0,0,0
ARS,10,Pfizer,1,1970-1979,L2,0,0,0
ARS,11,Pfizer,1,1970-1979,L2,0,0,0
ARS,12,Pfizer,1,1970-1979,L2,0,0,0
ARS,13,Pfizer,1,1970-1979,L2,0,0,0
ARS,14,Pfizer,1,1970-1979,L2,0,0,0
ARS,6,Pfizer,1,1980-1989,L2,0,0,0
ARS,1,Pfizer,2,1980-1989,L2,0,0,0
ARS,2,Pfizer,2,1980-1989,L2,0,0,0
ARS,3,Pfizer,2,1980-1989,L2,0,0,0
ARS,4,Pfizer,2,1980-1989,L2,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,L2,1.17,0.29,4.68
ARS,1,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,L2,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,L2,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,L2,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,L2,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,L2,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,L2,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,L2,0,0,0
ARS,0,none,no_dose,1990+,L3,0,0,0
ARS,0,none,no_dose,1970-1979,L3,0,0,0
ARS,0,none,no_dose,<1940,L3,0,0,0
ARS,0,none,no_dose,1940-1949,L3,0,0,0
ARS,0,none,no_dose,1950-1959,L3,0,0,0
