sex,ageband_at_1_jan_2021,type_vax_1,history_covid,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
1,40-49,Pfizer,0,2021-03,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-04,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-04,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-03,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-03,43,43,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-03,49,49,49,49,49,49,49,49,49,49,49,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
1,40-49,AstraZeneca,0,2021-03,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
1,40-49,AstraZeneca,0,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-03,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-04,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-04,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-03,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-04,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-01,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021-02,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0
