sex,Dose,type_vax,week,riskfactor,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM_narrow_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_narrow,lb_DM_narrow,ub_DM_narrow,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_narrow,lb_MENINGOENC_narrow,ub_MENINGOENC_narrow,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_CHILBLAIN_narrow,lb_CHILBLAIN_narrow,ub_CHILBLAIN_narrow,IR_CHILBLAIN_broad,lb_CHILBLAIN_broad,ub_CHILBLAIN_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,2020-01-06,CV,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108833.86,0,0,110711.85,0,0,108833.86,0,0,112655.79,0,0,112655.79,0,0,113990.12,0,0,109452.74,0,0,113990.12,31164.68,789.02,173638.46,31164.68,789.02,173638.46,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,110078.69,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,110711.85,0,0,113319.03,0,0,110078.69,0,0,110078.69,0,0,110078.69,0,0,211516.99,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,111352.33,0,0,110078.69,0,0,112655.79
0,0,0,2020-01-13,CV,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109541.73,0,0,111444.44,0,0,109541.73,0,0,113414.41,0,0,113414.41,0,0,114766.88,0,0,110168.7,0,0,114766.88,31623.38,800.63,176194.18,31623.38,800.63,176194.18,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,110802.9,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,111444.44,0,0,114086.64,0,0,110802.9,0,0,110802.9,0,0,110802.9,0,0,212183.18,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,112093.45,0,0,110802.9,0,0,113414.41
0,0,0,2020-01-20,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111260.38,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111907.24,0,0,114571.7,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,213867.18,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,112561.67,0,0,111260.38,0,0,113893.76
0,0,0,2020-01-27,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111260.38,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111907.24,0,0,114571.7,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,213867.18,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,112561.67,0,0,111260.38,0,0,113893.76
0,0,0,2020-02-03,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111260.38,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,30336.38,768.05,169023.48,31058.67,786.34,173047.85,0,0,111260.38,0,0,111260.38,0,0,111260.38,116136.72,14064.7,419525.78,0,0,109988.83,0,0,109988.83,0,0,109988.83,30513.78,772.54,170011.93,0,0,111260.38,30874.89,781.68,172023.9
0,0,0,2020-02-10,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111260.38,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,112561.67,0,0,115257.76,0,0,111260.38,0,0,111260.38,0,0,111260.38,59390.24,1503.63,330901.26,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,113223.8,0,0,111260.38,0,0,114571.7
0,0,0,2020-02-17,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,30260.98,766.14,168603.38,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,112561.67,0,0,115257.76,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,221241.91,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,113223.8,0,0,111260.38,0,0,114571.7
0,0,0,2020-02-24,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,112561.67,0,0,115257.76,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,221241.91,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,113223.8,0,0,111260.38,0,0,114571.7
0,0,0,2020-03-02,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,113893.76,0,0,113893.76,0,0,115257.76,0,0,110620.95,0,0,115257.76,0,0,117366.13,0,0,117366.13,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,111907.24,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,112561.67,0,0,115257.76,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,221241.91,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,113223.8,0,0,111260.38,0,0,114571.7
0,0,0,2020-03-09,CV,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110168.7,0,0,112093.45,0,0,110168.7,0,0,114086.64,0,0,114086.64,0,0,115455.29,0,0,110802.9,0,0,115455.29,32039.47,811.17,178512.52,32039.47,811.17,178512.52,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,112093.45,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,112750.06,0,0,115455.29,0,0,111444.44,0,0,111444.44,0,0,111444.44,59975.37,1518.44,334161.37,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,113414.41,0,0,111444.44,0,0,114766.88
