sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2020-01-06,CV,0,0,0,0,0,0,0,117366.13,0,0,117366.13,0,0,117366.13,0,0,117366.13,0,0,117366.13
0,0,,2020-01-06,CV,0,0,0,0,0,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86,0,0,108833.86
1,0,,2020-01-13,CV,0,0,0,0,0,0,0,118501.6,0,0,118501.6,0,0,118501.6,0,0,118501.6,0,0,118501.6
0,0,,2020-01-13,CV,0,0,0,0,0,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73
1,0,,2020-01-20,CV,0,0,0,0,0,0,0,118815.1,0,0,118815.1,0,0,118815.1,0,0,118815.1,0,0,118815.1
0,0,,2020-01-20,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-01-27,CV,0,0,0,0,0,0,0,119025.02,0,0,119025.02,0,0,119025.02,0,0,119025.02,0,0,119025.02
0,0,,2020-01-27,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-02-03,CV,0,0,0,0,0,0,0,119553.08,0,0,119553.08,0,0,119553.08,0,0,119553.08,0,0,119553.08
0,0,,2020-02-03,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-02-10,CV,0,0,0,0,0,0,0,120192.97,0,0,120192.97,0,0,120192.97,0,0,120192.97,0,0,120192.97
0,0,,2020-02-10,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-02-17,CV,0,0,0,0,0,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47,0,0,120731.47
0,0,,2020-02-17,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-02-24,CV,0,0,0,0,0,0,0,121933.32,0,0,121933.32,0,0,121933.32,0,0,121933.32,0,0,121933.32
0,0,,2020-02-24,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-03-02,CV,0,0,0,0,0,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02
0,0,,2020-03-02,CV,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,0,,2020-03-09,CV,0,0,0,0,0,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02
0,0,,2020-03-09,CV,0,0,0,0,0,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7,0,0,110168.7
1,0,,2020-03-16,CV,0,0,0,0,0,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02
0,0,,2020-03-16,CV,0,0,0,0,0,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95
1,0,,2020-03-23,CV,0,0,0,0,0,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02
0,0,,2020-03-23,CV,0,0,0,0,0,0,0,110711.85,0,0,110711.85,0,0,110711.85,0,0,110711.85,0,0,110711.85
1,0,,2020-03-30,CV,0,0,0,0,0,0,0,122822.54,0,0,122822.54,0,0,122822.54,0,0,122822.54,0,0,122822.54
0,0,,2020-03-30,CV,0,0,0,0,0,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38,0,0,111260.38
1,0,,2020-04-06,CV,0,0,0,0,0,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94
0,0,,2020-04-06,CV,0,0,0,0,0,0,0,111352.33,0,0,111352.33,0,0,111352.33,0,0,111352.33,0,0,111352.33
1,0,,2020-04-13,CV,0,0,0,0,0,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94,0,0,124180.94
0,0,,2020-04-13,CV,0,0,0,0,0,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24
1,0,,2020-04-20,CV,0,0,0,0,0,0,0,125103.36,0,0,125103.36,0,0,125103.36,0,0,125103.36,0,0,125103.36
0,0,,2020-04-20,CV,1,1,1,1,1,30412.16,769.97,169445.69,30412.16,769.97,169445.69,30412.16,769.97,169445.69,30412.16,769.97,169445.69,30412.16,769.97,169445.69
