sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,18-24,2020-01,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-02,406,406,406,406,406,406,406,406,406,406,406,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-03,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-04,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-05,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-06,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-07,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-08,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-09,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-10,434,434,434,434,434,434,434,434,434,434,434,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-11,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-12,412,412,412,412,412,412,412,412,412,412,412,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-01,398,398,398,398,398,398,398,398,398,398,398,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-02,336,336,336,336,336,336,336,336,336,336,336,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-03,372,372,372,372,372,372,372,372,372,372,372,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-04,132,132,132,132,132,132,132,132,132,132,132,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-01,975,975,975,975,975,975,975,975,975,975,975,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-02,899,899,899,899,899,899,899,899,899,899,899,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-03,961,961,961,961,961,961,961,961,961,961,961,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-04,930,930,930,930,930,930,930,930,930,930,930,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-05,941,941,941,941,941,941,941,941,941,941,941,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-06,900,900,900,900,900,900,900,900,900,900,900,0,0,0,0,0,0,0,0,0,0
