Dose,type_vax,week_fup,sex,ageband_at_study_entry,ACUASEARTHRITIS_broad_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,MISCC_narrow_b,MISCC_broad_b,MIS_narrow_b,MIS_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM1_broad,lb_DM1_broad,ub_DM1_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_MISCC_narrow,lb_MISCC_narrow,ub_MISCC_narrow,IR_MISCC_broad,lb_MISCC_broad,ub_MISCC_broad,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,0,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29,0,0,186357.29
0,0,0,0,5-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2
0,0,0,0,5-11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,9868.95,249.86,54986.29,9868.95,249.86,54986.29,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55,0,0,33466.55
0,0,0,0,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63,0,0,38255.63
0,0,0,0,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4,0,0,34654.4
0,0,0,0,18-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63,0,0,29201.63
0,0,0,0,25-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,73626.41,0,0,73626.41,0,0,61355.34,0,0,61355.34,0,0,61355.34,0,0,61355.34
0,0,0,0,30-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,3844.33,97.33,21419.25,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64,0,0,14136.64
0,0,0,0,40-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14611.9,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07,0,0,14054.07
0,0,0,0,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,11524.79,0,0,12924.35,0,0,11524.79,0,0,11524.79,3124.2,79.1,17406.92,0,0,11524.79,0,0,11524.79,0,0,11524.79
