datasource,week,vx_manufacturer,dose,birth_cohort,COVID,IR,lb,ub
ARS,2020-01-06,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-06,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-06,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-06,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-13,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-13,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-13,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-20,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-20,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-20,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-27,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1990+,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-01-27,none,no_dose,<1940,COVID,0,0,0
ARS,2020-01-27,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-03,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-03,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-03,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-10,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-10,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-10,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-17,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-17,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-17,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-24,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1990+,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-02-24,none,no_dose,<1940,COVID,0,0,0
ARS,2020-02-24,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1990+,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-03-02,none,no_dose,<1940,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1940-1949,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1950-1959,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1960-1969,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1990+,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-03-02,none,no_dose,<1940,COVID,0,0,0
ARS,2020-03-02,none,no_dose,1980-1989,COVID,0,0,0
ARS,2020-03-09,none,no_dose,1990+,COVID,0,0,0
ARS,2020-03-09,none,no_dose,1970-1979,COVID,0,0,0
ARS,2020-03-09,none,no_dose,<1940,COVID,0,0,0
