Dose,type_vax,week_fup,sex,Birthcohort_persons,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM_narrow_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,KD_narrow_b,KD_broad_b,MISCC_narrow_b,MISCC_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_narrow,lb_DM_narrow,ub_DM_narrow,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_narrow,lb_MENINGOENC_narrow,ub_MENINGOENC_narrow,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_CHILBLAIN_narrow,lb_CHILBLAIN_narrow,ub_CHILBLAIN_narrow,IR_CHILBLAIN_broad,lb_CHILBLAIN_broad,ub_CHILBLAIN_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,1,0,0,0,0,0,7466.68,2040.27,51.66,11367.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,2045.76,51.79,11398.25,2045.76,51.79,11398.25,2056.82,52.07,11459.86,2056.82,52.07,11459.86,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,0,0,7466.68,20670.63,8310.66,42589.39,0,0,7466.68,0,0,7466.68,2024.11,51.25,11277.6,2045.76,51.79,11398.25,0,0,7466.68,2045.76,51.79,11398.25
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,1,1,1,2,0,0,0,0,0,6265.93,1709.97,43.29,9527.35,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,1713.82,43.39,9548.81,1713.82,43.39,9548.81,1751.8,44.35,9760.4,1751.8,44.35,9760.4,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,0,0,6265.93,1701.13,43.07,9478.1,1701.13,43.07,9478.1,0,0,6265.93,23777.58,10872.62,45137.25,0,0,6265.93,0,0,6265.93,1698.6,43,9463.99,1713.82,43.39,9548.81,1701.13,43.07,9478.1,3432.8,415.73,12400.46
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,1,1,1,2,0,0,0,0,0,5961.52,1626.37,41.18,9061.55,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,1629.85,41.26,9080.96,1629.85,41.26,9080.96,1664.16,42.13,9272.11,1664.16,42.13,9272.11,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,0,0,5961.52,1618.37,40.97,9016.98,1618.37,40.97,9016.98,0,0,5961.52,23164.33,10592.21,43973.11,0,0,5961.52,0,0,5961.52,1616.08,40.92,9004.22,1629.85,41.26,9080.96,1618.37,40.97,9016.98,3264.37,395.33,11792.02
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,1,1,1,2,0,0,0,0,0,5866.52,1600.29,40.52,8916.24,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,1603.66,40.6,8935.03,1603.66,40.6,8935.03,1636.86,41.44,9120.03,1636.86,41.44,9120.03,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,0,0,5866.52,1592.54,40.32,8873.09,1592.54,40.32,8873.09,0,0,5866.52,23164.33,10592.21,43973.11,0,0,5866.52,0,0,5866.52,1590.33,40.26,8860.73,1603.66,40.6,8935.03,1592.54,40.32,8873.09,3211.84,388.97,11602.26
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,1,1,1,2,0,0,0,0,0,5598.85,1526.84,38.66,8506.99,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,1529.91,38.73,8524.1,1529.91,38.73,8524.1,1560.1,39.5,8692.31,1560.1,39.5,8692.31,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,0,0,5598.85,1519.79,38.48,8467.7,1519.79,38.48,8467.7,0,0,5598.85,26404.77,13181.17,47245.43,0,0,5598.85,0,0,5598.85,1517.76,38.43,8456.44,1529.91,38.73,8524.1,1519.79,38.48,8467.7,3063.92,371.06,11067.94
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,1,1,1,2,0,0,0,0,0,5514.97,1503.83,38.07,8378.8,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,1506.81,38.15,8395.39,1506.81,38.15,8395.39,1536.08,38.89,8558.51,1536.08,38.89,8558.51,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,0,0,5514.97,1496.99,37.9,8340.68,1496.99,37.9,8340.68,0,0,5514.97,26404.77,13181.17,47245.43,0,0,5514.97,0,0,5514.97,1495.03,37.85,8329.76,1506.81,38.15,8395.39,1496.99,37.9,8340.68,3017.6,365.45,10900.6
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,12,0,0,1,1,1,2,0,0,0,0,0,5433.57,1481.5,37.51,8254.41,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,1484.39,37.58,8270.51,1484.39,37.58,8270.51,1512.8,38.3,8428.77,1512.8,38.3,8428.77,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,0,0,5433.57,1474.86,37.34,8217.41,1474.86,37.34,8217.41,0,0,5433.57,28128.61,14534.46,49135.02,0,0,5433.57,0,0,5433.57,1472.96,37.29,8206.81,1484.39,37.58,8270.51,1474.86,37.34,8217.41,2972.65,360,10738.25
0,0,0,0,1940-1949,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,0,0,1,1,1,2,0,0,0,0,0,5277.78,1438.79,36.43,8016.4,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,1441.51,36.5,8031.58,1441.51,36.5,8031.58,1468.28,37.17,8180.75,1468.28,37.17,8180.75,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,0,0,5277.78,1432.52,36.27,7981.5,1432.52,36.27,7981.5,0,0,5277.78,29232.59,15565.12,49988.62,0,0,5277.78,0,0,5277.78,1430.73,36.22,7971.49,1441.51,36.5,8031.58,1432.52,36.27,7981.5,2886.67,349.59,10427.63
0,0,0,0,1940-1949,0,1,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,15,0,0,2,2,2,4,0,0,0,0,0,3631.12,998.03,25.27,5560.68,0,0,3631.12,988.6,25.03,5508.15,987.4,25,5501.45,997.27,25.25,5556.43,1984.62,240.35,7169.14,1984.62,240.35,7169.14,2071.11,250.82,7481.55,2071.11,250.82,7481.55,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3643.89,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3631.12,0,0,3667.29,0,0,3667.29,1982.63,240.11,7161.94,1982.63,240.11,7161.94,998.5,25.28,5563.27,26594.58,14884.79,43863.72,0,0,3631.12,0,0,3631.12,1968.68,238.42,7111.56,2004.56,242.76,7241.14,1982.63,240.11,7161.94,4038.03,1100.23,10338.96
0,0,0,0,1940-1949,0,1,0,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,15,0,0,2,2,2,4,0,0,0,0,0,3595.65,988.15,25.02,5505.62,0,0,3595.65,978.91,24.78,5454.12,977.73,24.75,5447.55,987.4,25,5501.45,1965.08,237.98,7098.56,1965.08,237.98,7098.56,2049.84,248.24,7404.71,2049.84,248.24,7404.71,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3608.17,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3595.65,0,0,3631.12,0,0,3631.12,1963.13,237.74,7091.5,1963.13,237.74,7091.5,988.6,25.03,5508.15,26130.35,14624.96,43098.03,0,0,3595.65,0,0,3595.65,1949.46,236.09,7042.1,1984.62,240.35,7169.14,1963.13,237.74,7091.5,3997.59,1089.21,10235.42
